fishery,fish_stock
Abalones nei single_stock,abalone_single_stock
Alaska pollock(=Walleye poll.) pacific_stock,pollock_pacific_stock
Alaska pollock(=Walleye poll.) sea_of_japan_north_stock,pollock_sea_of_japan_north_stock
Albacore single_stock,albacore_tuna_single_stock
Amberstripe scad single_stock,amberstripe_scad_single_stock
Antarctic krill nei single_stock,krill_single_stock
Bastard halibut pacific_central_stock,bastard_halibut_pacific_central_stock
Bastard halibut pacific_north_stock,bastard_halibut_pacific_north_stock
Bastard halibut sea_of_japan_north_central_stock,bastard_halibut_sea_of_japan_north_central_stock
Bastard halibut sea_of_japan_west_east_china_sea_stock,bastard_halibut_sea_of_japan_west_east_china_sea_stock
Bastard halibut seto_inland_sea_stock,bastard_halibut_seto_inland_sea_stock
Bigeye tuna single_stock,bigeye_tuna_single_stock
"Blackhead seabream, Goldlined seabream single_stock",blackhead_seabream_and_goldlined_seabream_single_stock
Blue marlin single_stock,blue_marlin_single_stock
Broadbanded thornyhead hokkaido_east_hokkaido_south,broadbanded_thornyhead_hokkaido_east_hokkaido_south
Broadbanded thornyhead pacific_north,broadbanded_thornyhead_pacific_north
Conger eels nei single_stock,conger_eel_single_stock
"Crison seabream, Yellowback seabream single_stock",crimson_seabream_and_yellowback_seabream_single_stock
Cuttlefishes nei single_stock,golden_cuttlefish_single_stock
Daggertooth pike conger single_stock,daggertooth_pike_conger_single_stock
Dolphinfishes nei single_stock,dolphinfish_single_stock
Dotted gizzard shad single_stock,shad_single_stock
Flyingfishes nei single_stock,flyingfish_single_stock
Frigate and bullet tunas single_stock,auxis_single_stock
Japanese amberjack single_stock,yellowtail_single_stock
Japanese anchovy pacific_stock,japanese_anchovy_pacific_stock
Japanese anchovy seto_inland_sea_stock,japanese_anchovy_seto_inland_sea_stock
Japanese anchovy tsushima_current_stock,japanese_anchovy_tsushima_current_stock
Japanese carpet shell single_stock,manila_clam_single_stock
Japanese flying squid winter_stock,japanese_common_squid_winter_stock
Japanese hard clam single_stock,japanese_hard_clam_single_stock
Japanese jack mackerel pacific_stock,japanese_jack_mackerel_pacific_stock
Japanese jack mackerel tsushima_current_stock,japanese_jack_mackerel_tsushima_current_stock
Japanese pilchard pacific_stock,japanese_sardine_pacific_stock
Japanese pilchard tsushima_current_stock,japanese_sardine_tsushima_current_stock
Japanese sandfish hokkaido,sandfish_hokkaido
Japanese sandfish sea_of_japan_north_stock,sandfish_sea_of_japan_north_stock
Japanese sandfish sea_of_japan_west_stock,sandfish_sea_of_japan_west_stock
Japanese seabass single_stock,japanese_seabass_single_stock
Japanese seabream pacific_central_stock,japanese_seabream_pacific_central_stock
Japanese seabream pacific_south_stock,japanese_seabream_pacific_south_stock
Japanese seabream sea_of_japan_north_central_stock,japanese_seabream_sea_of_japan_north_central_stock
Japanese seabream sea_of_japan_west_east_china_sea_stock,japanese_seabream_sea_of_japan_west_east_china_sea_stock
Japanese seabream seto_inland_sea_central_west_stock,japanese_seabream_seto_inland_sea_central_west_stock
Japanese seabream seto_inland_sea_east_stock,japanese_seabream_seto_inland_sea_east_stock
Japanese Spanish mackerel east_china_sea_stock,japanese_spanish_mackerel_east_china_sea_stock
Japanese Spanish mackerel seto_inland_sea_stock,japanese_spanish_mackerel_seto_inland_sea_stock
Japanese spiny lobster single_stock,spiny_lobster_single_stock
Largehead hairtail single_stock,largehead_hairtail_single_stock
Lizardfishes nei single_stock,lizardfish_single_stock
Mackerels nei pacific_stock,mackerel_pacific_stock
Mackerels nei tsushima_current_stock,mackerel_tsushima_current_stock
Neon flying squid single_stock,neon_flying_squid_single_stock
Octopuses nei single_stock,octopus_single_stock
Okhotsk atka mackerel hokkaido_north,atka_mackerel_hokkaido_north
Pacific bluefin tuna single_stock_exc_sbf_inc_sml,bluefin_tuna_single_stock
Pacific cod hokkaido,cod_hokkaido
Pacific cod pacific_north_stock,cod_pacific_north_stock
Pacific cod sea_of_japan_stock,cod_sea_of_japan_stock
Pacific herring single_stock,herring_single_stock
Pacific ocean perch single_stock,red_rock_fish_single_stock
Pacific salmons nei single_stock,salmon_single_stock
Pacific saury single_stock,saury_single_stock
Pufferfishes nei ise_mikawa_bay_stock,pufferfish_ise_mikawa_bay_stock
Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock,pufferfish_sea_of_japan_east_china_sea_seto_inland_sea_stock
Queen crab okhotsk_stock,snow_crab_okhotsk_stock
Queen crab sea_of_japan_stock,snow_crab_pacific
Rays and skates nei single_stock,rays_single_stock
Red snow crab single_stock,red_snow_crab_single_stock
Red-eye round herring pacific_stock,round_herring_pacific_stock
Red-eye round herring tsushima_current_stock,round_herring_tsushima_current_stock
Righteye flounders nei hokkaido_north_stock,righteye_flounder_hokkaido_north_stock
Righteye flounders nei pacific_north,righteye_flounder_pacific_north
Righteye flounders nei sea_of_japan_stock,righteye_flounder_sea_of_japan_stock
Rudderfish single_stock,rudderfish_single_stock
Sandlances nei ise_mikawa_bay_stock,sand_lance_ise_mikawa_bay_stock
Sandlances nei sea_of_japan_stock,sand_lance_sea_of_japan_stock
Sandlances nei sendai_bay_stock,sand_lance_sendai_bay_stock
Sandlances nei seto_inland_sea_east_stock,sand_lance_seto_inland_sea_east_stock
Sandlances nei soya_strait,sand_lance_soya_strait
Sea cucumbers nei single_stock,sea_cucumber_single_stock
Sea urchins nei single_stock,sea_urchin_single_stock
Skipjack tuna single_stock,skipjack_single_stock
Smelts nei pacific_stock,smelt_pacific_stock
Smelts nei sea_of_japan_stock,smelt_sea_of_japan_stock
Southern bluefin tuna single_stock,southern_bluefin_tuna_single_stock
Striped marlin single_stock,marlin_single_stock
"Swimming crabs, etc. nei single_stock",swimming_crab_single_stock
Swordfish single_stock,swordfish_single_stock
Tilefishes nei single_stock,tilefish_single_stock
Trouts nei single_stock,trout_single_stock
Turbans nei single_stock,spiny_top_shell_single_stock
Whitebait smelt single_stock,whitebait_single_stock
Yellowfin tuna single_stock,yellowfin_tuna_single_stock
Yesso scallop single_stock,scallop_single_stock