number,fish_stock,Japanese
1,albacore_tuna_single_stock,びんなが
2,amberstripe_scad_single_stock,むろあじ類
3,auxis_single_stock,そうだがつお
4,bastard_halibut_sea_of_japan_west_east_china_sea_stock,ひらめ
5,bigeye_tuna_single_stock,めばち
6,blackhead_seabream_and_goldlined_seabream_single_stock,くろだい・へだい
7,blue_marlin_single_stock,くろかじき類（くろかわ類）
8,bluefin_tuna_single_stock,くろまぐろ
9,conger_eel_single_stock,あなご類
10,crimson_seabream_and_yellowback_seabream_single_stock,ちだい・きだい
11,daggertooth_pike_conger_single_stock,はも
12,dolphinfish_single_stock,しいら類
13,flyingfish_single_stock,とびうお類
14,golden_cuttlefish_single_stock,こういか類
15,japanese_seabream_sea_of_japan_west_east_china_sea_stock,まだい
16,japanese_spanish_mackerel_east_china_sea_stock,さわら類
17,largehead_hairtail_single_stock,たちうお類
18,manila_clam_single_stock,あさり類
19,marlin_single_stock,まかじき
20,neon_flying_squid_single_stock,あかいか
21,pufferfish_sea_of_japan_east_china_sea_seto_inland_sea_stock,ふぐ類
22,rays_single_stock,えい類
23,rudderfish_single_stock,いぼだい
24,shad_single_stock,このしろ
25,skipjack_single_stock,かつお
26,spiny_lobster_single_stock,いせえび
27,spiny_top_shell_single_stock,さざえ
28,swimming_crab_single_stock,がざみ類
29,swordfish_single_stock,めかじき
30,yellowfin_tuna_single_stock,きはだ
31,yellowtail_single_stock,ぶり類