大船渡市場,weight_kg,year
あかいか,195599,2007
あじ類,235775,2007
いか類,100917,2007
いさだ,8785140,2007
いわし,386253,2007
海藻,31988,2007
貝類,113020,2007
かじき類,2510,2007
かつお,1804902,2007
かれい類,82948,2007
きちじ,1859,2007
こうなご,6708,2007
さけ・ます,2922522,2007
さば,9467074,2007
さめ類,17157,2007
さんま,23288938,2007
水産動物,133843,2007
水産哺乳類,1170,2007
すけそう,43587,2007
すずき,1366,2007
するめ,2761619,2007
たい類,9274,2007
びんちょう,64809,2007
ぶり類,542909,2007
他の魚類,875006,2007
まぐろ,104836,2007
またら,333271,2007
めぬけ類,125,2007
あかいか,13933,2008
あじ類,173920,2008
いか類,23057,2008
いさだ,8545590,2008
いわし,268373,2008
海藻,33728,2008
貝類,114726,2008
かじき類,1705,2008
かつお,3692896,2008
かれい類,86943,2008
きちじ,389,2008
こうなご,5925,2008
さけ・ます,5568402,2008
さば,10819330,2008
さめ類,21689,2008
さんま,30435751,2008
水産動物,102171,2008
水産哺乳類,,2008
すけそう,48031,2008
すずき,2552,2008
するめ,2824366,2008
たい類,5921,2008
びんちょう,31765,2008
ぶり類,521161,2008
他の魚類,773947,2008
まぐろ,189997,2008
またら,301936,2008
めぬけ類,207,2008
あかいか,11,2009
あじ類,229024,2009
いか類,22686,2009
いさだ,9870840,2009
いわし,179043,2009
海藻,29710,2009
貝類,111911,2009
かじき類,1770,2009
かつお,1135675,2009
かれい類,81612,2009
きちじ,2921,2009
こうなご,6710,2009
さけ・ます,4145003,2009
さば,7069569,2009
さめ類,8601,2009
さんま,29098357,2009
水産動物,126785,2009
水産哺乳類,1360,2009
すけそう,31327,2009
すずき,2777,2009
するめ,2885816,2009
たい類,25612,2009
びんちょう,30348,2009
ぶり類,740902,2009
他の魚類,647513,2009
まぐろ,154793,2009
またら,304276,2009
めぬけ類,138,2009
あかいか,1589,2010
あじ類,86296,2010
いか類,54341,2010
いさだ,5204700,2010
いわし,911095,2010
海藻,32227,2010
貝類,84260,2010
かじき類,4460,2010
かつお,2475617,2010
かれい類,74169,2010
きちじ,8981,2010
こうなご,3164,2010
さけ・ます,2277426,2010
さば,7439892,2010
さめ類,79822,2010
さんま,21697825,2010
水産動物,141721,2010
水産哺乳類,1801,2010
すけそう,27688,2010
すずき,2733,2010
するめ,2312908,2010
たい類,13129,2010
びんちょう,16669,2010
ぶり類,1991437,2010
他の魚類,750903,2010
まぐろ,98708,2010
またら,282009,2010
めぬけ類,178,2010
あかいか,3444,2011
あじ類,8434,2011
いか類,53467,2011
いさだ,3621660,2011
いわし,102802,2011
海藻,28040,2011
貝類,728,2011
かじき類,2822,2011
かつお,388689,2011
かれい類,54687,2011
きちじ,13464,2011
こうなご,176,2011
さけ・ます,1473027,2011
さば,1399243,2011
さめ類,6783,2011
さんま,18438493,2011
水産動物,35778,2011
水産哺乳類,1780,2011
すけそう,1252174,2011
すずき,953,2011
するめ,1217855,2011
たい類,21820,2011
びんちょう,33493,2011
ぶり類,1807753,2011
他の魚類,261922,2011
まぐろ,28801,2011
またら,468830,2011
めぬけ類,62,2011
あかいか,1268,2012
あじ類,81914,2012
いか類,72827,2012
いさだ,7922010,2012
いわし,287941,2012
海藻,25812,2012
貝類,20805,2012
かじき類,5961,2012
かつお,1217437,2012
かれい類,104776,2012
きちじ,11250,2012
こうなご,,2012
さけ・ます,988111,2012
さば,3071159,2012
さめ類,425704,2012
さんま,20391889,2012
水産動物,46242,2012
水産哺乳類,4100,2012
すけそう,1497874,2012
すずき,1405,2012
するめ,1584855,2012
たい類,36339,2012
びんちょう,2319,2012
ぶり類,3417011,2012
他の魚類,3225370,2012
まぐろ,80111,2012
またら,901550,2012
めぬけ類,94,2012
あかいか,8482,2013
あじ類,107725,2013
いか類,109216,2013
いさだ,6603870,2013
いわし,886138,2013
海藻,9168,2013
貝類,7252,2013
かじき類,10257,2013
かつお,1052636,2013
かれい類,126619,2013
きちじ,20263,2013
こうなご,10856,2013
さけ・ます,3353869,2013
さば,4403905,2013
さめ類,9524,2013
さんま,14590484,2013
水産動物,5462,2013
水産哺乳類,15916,2013
すけそう,1226440,2013
すずき,634,2013
するめ,1209502,2013
たい類,50535,2013
びんちょう,,2013
ぶり類,2588784,2013
他の魚類,5000067,2013
まぐろ,129065,2013
またら,1063635,2013
めぬけ類,49,2013
あかいか,105,2014
あじ類,61402,2014
いか類,122307,2014
いさだ,5921580,2014
いわし,1860008,2014
海藻,14746,2014
貝類,38165,2014
かじき類,3481,2014
かつお,862063,2014
かれい類,134695,2014
きちじ,9196,2014
こうなご,2081,2014
さけ・ます,2602093,2014
さば,3374596,2014
さめ類,4853,2014
さんま,27133223,2014
水産動物,73871,2014
水産哺乳類,12640,2014
すけそう,1399873,2014
すずき,703,2014
するめ,910386,2014
たい類,17033,2014
びんちょう,2,2014
ぶり類,2987213,2014
他の魚類,4635012,2014
まぐろ,121519,2014
またら,487955,2014
めぬけ類,43,2014
あかいか,461,2015
あじ類,98183,2015
いか類,66756,2015
いさだ,8156970,2015
いわし,2322871,2015
海藻,32337,2015
貝類,67778,2015
かじき類,1309,2015
かつお,787687,2015
かれい類,83433,2015
きちじ,163,2015
こうなご,2220,2015
さけ・ます,770791,2015
さば,7259298,2015
さめ類,12666,2015
さんま,13684210,2015
水産動物,85865,2015
水産哺乳類,6000,2015
すけそう,146900,2015
すずき,1544,2015
するめ,414457,2015
たい類,24967,2015
びんちょう,16698,2015
ぶり類,2584459,2015
他の魚類,4805719,2015
まぐろ,81790,2015
またら,273416,2015
めぬけ類,117,2015