Japanese,EngName,fish,大船渡市場,fish_stock
あかいか,neon_flying_squid,neon_flying_squid,あかいか,neon_flying_squid_single_stock
むろあじ類,amberstripe_scad,amberstripe_scad,あじ類,amberstripe_scad_single_stock
まあじ,japanese_jack_mackerel,japanese_jack_mackerel,あじ類,japanese_jack_mackerel_pacific_stock
こういか類,golden_cuttlefish,golden_cuttlefish,いか類,golden_cuttlefish_single_stock
その他のいか,other_squid,other_squid,いか類,other_squid_single_stock
おきあみ類,krill,krill,いさだ,krill_single_stock
かたくちいわし,japanese_anchovy,japanese_anchovy,いわし,japanese_anchovy_pacific_stock
まいわし,japanese_sardine,japanese_sardine,いわし,japanese_sardine_pacific_stock
うるめいわし,round_herring,round_herring,いわし,round_herring_pacific_stock
くろかじき類（くろかわ類）,blue_marlin,blue_marlin,かじき類,blue_marlin_single_stock
まかじき,marlin,marlin,かじき類,marlin_single_stock
その他のかじき類,other_kajiki,other_kajiki,かじき類,other_kajiki_single_stock
めかじき,swordfish,swordfish,かじき類,swordfish_single_stock
そうだがつお類,auxis,auxis,かつお,auxis_single_stock
かつお,skipjack,skipjack,かつお,skipjack_single_stock
かれい類,righteye_flounder,righteye_flounder,かれい類,righteye_flounder_pacific_north
きちじ,broadbanded_thornyhead,broadbanded_thornyhead,きちじ,broadbanded_thornyhead_single_stock
いかなご類,sand_lance,sand_lance,こうなご,sand_lance_sendai_bay_stock
さけ類,salmon,salmon,さけ・ます,salmon_single_stock
ます類,trout,trout,さけ・ます,trout_single_stock
さば類,mackerel,mackerel,さば,mackerel_pacific_stock
さめ類,shark,shark,さめ類,shark_single_stock
さんま,saury,saury,さんま,saury_single_stock
すけとうだら,pollock,pollock,すけそう,pollock_pacific_stock
すずき類,japanese_seabass,japanese_seabass,すずき,japanese_seabass_single_stock
するめいか,japanese_common_squid,japanese_common_squid,するめ,japanese_common_squid_winter_stock
くろだい・へだい,blackhead_seabream_and_goldlined_seabream,blackhead_seabream_and_goldlined_seabream,たい類,blackhead_seabream_and_goldlined_seabream_single_stock
ちだい・きだい,crimson_seabream_and_yellowback_seabream,crimson_seabream_and_yellowback_seabream,たい類,crimson_seabream_and_yellowback_seabream_single_stock
まだい,japanese_seabream,japanese_seabream,たい類,japanese_seabream_pacific_central_stock
いぼだい,rudderfish,rudderfish,たい類,rudderfish_single_stock
びんなが,albacore_tuna,albacore_tuna,びんちょう,albacore_tuna_single_stock
ぶり類,yellowtail,yellowtail,ぶり類,yellowtail_single_stock
めばち,bigeye_tuna,bigeye_tuna,まぐろ,bigeye_tuna_single_stock
くろまぐろ,bluefin_tuna,bluefin_tuna,まぐろ,bluefin_tuna_single_stock
その他のまぐろ類,other_tuna,other_tuna,まぐろ,other_tuna_single_stock
きはだ,yellowfin_tuna,yellowfin_tuna,まぐろ,yellowfin_tuna_single_stock
まだら,cod,cod,またら,cod_pacific_north_stock
めぬけ類,red_rock_fish,red_rock_fish,めぬけ類,red_rock_fish_single_stock
ひじき,hijiki_seaweed,hijiki_seaweed,海藻,hijiki_seaweed_single_stock
こんぶ類,kelp,kelp,海藻,kelp_single_stock
その他の海藻類,other_seaweed,other_seaweed,海藻,other_seaweed_single_stock
てんぐさ類,tengusa_seaweed,tengusa_seaweed,海藻,tengusa_seaweed_single_stock
わかめ類,wakame_seaweed,wakame_seaweed,海藻,wakame_single_stock
あわび類,abalone,abalone,貝類,abalone_single_stock
あさり類,manila_clam,manila_clam,貝類,minila_clam_single_stock
その他の貝類,other_shellfish,other_shellfish,貝類,other_shellfish_single_stock
ほたてがい,scallop,scallop,貝類,scallop_single_stock
さざえ,spiny_top_shell,spiny_top_shell,貝類,spiny_top_shell_single_stock
うばがい（ほっき）,surf_clam,surf_clam,貝類,surf_clam_single_stock
くるまえび,japanese_shrimp,japanese_shrimp,水産動物,japanese_shrimp_single_stock
その他のかに類,other_crab,other_crab,水産動物,other_crab_single_stock
その他の水産動物類,other_fish.1,other_fish.1,水産動物,other_fish.1_single_stock
その他のえび類,other_shrimp,other_shrimp,水産動物,other_shrimp_single_stock
なまこ類,sea_cucumber,sea_cucumber,水産動物,sea_cucumber_single_stock
がざみ類,swimming_crab,swimming_crab,水産動物,swimming_crab_single_stock
海産ほ乳類,marine_mammals,marine_mammals,水産哺乳類,marine_mammals_single_stock
ほっけ,atka_mackerel,atka_mackerel,他の魚類,atka_mackerel_hokkaido_north
ひらめ,bastard_halibut,bastard_halibut,他の魚類,bastard_halibut_pacific_north_stock
あなご類,conger_eel,conger_eel,他の魚類,conger_eel_single_stock
しいら類,dolphinfish,dolphinfish,他の魚類,dolphinfish_single_stock
ぼら類,flathead_mullet,flathead_mullet,他の魚類,flathead_mullet_single_stock
とびうお類,flyingfish,flyingfish,他の魚類,flyingfish_single_stock
にしん,herring,herring,他の魚類,herring_single_stock
さわら類,japanese_spanish_mackerel,japanese_spanish_mackerel,他の魚類,japanese_spanish_mackerel_seto_inland_sea_stock
たちうお,largehead_hairtail,largehead_hairtail,他の魚類,largehead_hairtail_single_stock
その他の魚類,other_fish,other_fish,他の魚類,other_fish_single_stock
ふぐ類,pufferfish,pufferfish,他の魚類,pufferfish_sea_of_japan_east_china_sea_seto_inland_stock
えい類,rays,rays,他の魚類,rays_single_stock
しらす,whitebait,whitebait,他の魚類,whitebait_single_stock