prefecture,alphabet_pref,pref_code,region,region_kaiku_name,rate
北海道,hokkaido,1,1,hokkaido_sea_of_japan_north_and_hokkaido_pacific_north,1
青森,aomori,2,2,pacific_north,0.5
岩手,iwate,3,2,pacific_north,1
宮城,miyagi,4,2,pacific_north,1
福島,fukushima,7,2,pacific_north,1
茨城,ibaraki,8,2,pacific_north,1
千葉,chiba,9,3,pacific_central,1
東京,tokyo,10,3,pacific_central,1
神奈川,kanagawa,11,3,pacific_central,1
静岡,shizuoka,16,3,pacific_central,1
愛知,aichi,17,3,pacific_central,1
三重,mie,18,3,pacific_central,1
和歌山,wakayama,22,4,pacific_south,0.5
徳島,tokushima,28,4,pacific_south,0.5
愛媛,ehime,30,4,pacific_south,0.5
高知,kochi,31,4,pacific_south,1
大分,oita,36,4,pacific_south,0.5
宮崎,miyazaki,37,4,pacific_south,1
山口,yamaguchi,27,5,east_china_sea,0.5
福岡,fukuoka,32,5,east_china_sea,0.5
佐賀,saga,33,5,east_china_sea,1
長崎,nagasaki,34,5,east_china_sea,1
熊本,kumamoto,35,5,east_china_sea,1
鹿児島,kagoshima,38,5,east_china_sea,1
沖縄,okinawa,39,5,east_china_sea,1
石川,ishikawa,14,6,sea_of_japan_west,1
福井,fukui,15,6,sea_of_japan_west,1
京都,kyoto,19,6,sea_of_japan_west,1
兵庫,hyogo,21,6,sea_of_japan_west,0.5
鳥取,tottori,23,6,sea_of_japan_west,1
島根,shimane,24,6,sea_of_japan_west,1
青森,aomori,2,7,sea_of_japan_north,0.5
秋田,akita,5,7,sea_of_japan_north,1
山形,yamagata,6,7,sea_of_japan_north,1
新潟,niigata,12,7,sea_of_japan_north,1
富山,toyama,13,7,sea_of_japan_north,1
大阪,osaka,20,8,seto_inland_sea,1
兵庫,hyogo,21,8,seto_inland_sea,0.5
和歌山,wakayama,22,8,seto_inland_sea,0.5
岡山,okayama,25,8,seto_inland_sea,1
広島,hiroshima,26,8,seto_inland_sea,1
山口,yamaguchi,27,8,seto_inland_sea,0.5
徳島,tokushima,28,8,seto_inland_sea,0.5
香川,kagawa,29,8,seto_inland_sea,1
愛媛,ehime,30,8,seto_inland_sea,0.5
福岡,fukuoka,32,8,seto_inland_sea,0.5
大分,oita,36,8,seto_inland_sea,0.5
栃木,tochigi,,,,
群馬,gunma,,,,
埼玉,saitama,,,,
山梨,yamanashi,,,,
長野,nagano,,,,
岐阜,gifu,,,,
滋賀,shiga,,,,
奈良,nara,,,,