,IdOrig,Fishery,SciName,CommName,SpeciesCat,SpeciesCatName,Res1,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,1,Abalones nei single_stock,Haliotis spp,Abalones nei,52,"Abalones, winkles, conchs",Medium,49809.04903,50289.48421,54157.69419,56688.29414,58098.95341,51585.10309,45508.29529,51078.79294,54721.16586,48870.36127,49887.21928,52440.64708,56046.23135
2,2,Alaska pollock(=Walleye poll.) pacific_stock,Theragra chalcogramma,Alaska pollock(=Walleye poll.),32,"Cods, hakes, haddocks",2,890.9621418,910.0338829,1894.840958,1835.404033,876.916557,843.3586599,1102.172147,877.5709691,437.2094948,412.0580546,818.6207496,759.5172334,2208.619804
3,3,Alaska pollock(=Walleye poll.) sea_of_japan_north_stock,Theragra chalcogramma,Alaska pollock(=Walleye poll.),32,"Cods, hakes, haddocks",2,4992.306217,5339.746502,5100.649193,6284.734176,5250.109862,3589.640009,4429.63176,5928.487627,5119.550731,5834.061005,4845.753332,3197.428646,3531.547619
4,4,Albacore single_stock,Thunnus alalunga,Albacore,36,"Tunas, bonitos, billfishes",3,2949.068185,4102.874294,3620.694734,4187.851544,3628.580351,3825.120097,3358.252217,3065.481358,3545.823356,3031.23894,3163.7229,3144.233849,3557.149818
5,5,Amberstripe scad single_stock,Decapterus muroadsi,Amberstripe scad,37,Miscellaneous pelagic fishes,3,1886.469896,2117.872345,2480.582426,2075.160782,1941.122809,2000.192822,1656.396103,2136.404237,1470.529332,1827.501908,1236.477969,1531.191375,2063.037403
6,6,Antarctic krill nei single_stock,Euphausia spp,Antarctic krill nei,46,"Krill, planktonic crustaceans",Medium,1142.538499,766.2471095,951.3096689,2760.944345,3008.44007,2172.383021,3161.539521,2139.560881,3936.525788,550.1220496,3193.528969,990.9888888,313.814282
7,7,Bastard halibut pacific_central_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,19464.63146,20018.66674,19892.22627,18137.84514,13313.32788,14159.57457,14032.57482,10850.2045,10211.95506,9908.575962,9843.891755,10934.74233,11513.44033
8,8,Bastard halibut pacific_north_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,13692.12017,13776.61197,11422.62266,9390.22272,9767.751882,10684.77684,9220.192942,8601.873139,8519.18313,7875.981814,6356.017079,6849.876964,7149.411786
9,9,Bastard halibut sea_of_japan_north_central_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,13828.72389,13525.85166,12925.35875,12160.55737,12182.02083,13430.60278,11990.63596,11068.85639,11098.75592,11268.32767,10002.56875,10204.88186,10368.89747
10,10,Bastard halibut sea_of_japan_west_east_china_sea_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,15096.51812,14455.32156,14790.82223,14485.60895,13522.99794,13448.64038,12321.37204,12032.42733,12020.39393,12413.46912,11624.43627,11736.79625,11472.79753
11,11,Bastard halibut seto_inland_sea_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,16731.44402,16507.2905,15794.39218,15144.04398,14555.96618,15409.1586,13558.9033,14079.71246,12928.32877,12488.97452,12884.5514,12315.92893,13510.01285
12,12,Bigeye tuna single_stock,Thunnus obesus,Bigeye tuna,36,"Tunas, bonitos, billfishes",3,6541.665855,7189.467675,6710.509574,6975.155071,8537.039708,9702.177969,9311.511585,8712.549556,8714.138884,8921.067147,8434.174962,8004.878435,9845.73389
13,14,"Blackhead seabream, Goldlined seabream single_stock","Acanthopagrus schlegeli, Rhabdosargus sarba","Blackhead seabream, Goldlined seabream",33,Miscellaneous coastal fishes,Medium,5567.349998,5400.252052,5218.177712,4948.382667,5214.796753,5135.100413,5004.309277,5244.414843,4818.483537,5049.013796,4841.092143,5055.615194,4678.877709
14,15,Blue marlin single_stock,Makaira nigricans,Blue marlin,36,"Tunas, bonitos, billfishes",3,3289.936018,4071.380303,3252.673597,3325.889487,3480.585341,4209.74474,3641.17162,3945.022243,3818.121936,3779.006141,3728.016446,3911.093045,4296.263153
15,16,Broadbanded thornyhead hokkaido_east_hokkaido_south,Sebastolobus macrochir,Broadbanded thornyhead,34,Miscellaneous demersal fishes,2,25305.72289,24337.07865,27420.18072,18775.36232,20853.86029,21303.79747,29492.87169,30270.96774,27165.55184,25969.56522,27666.66667,28820.38835,30888.70704
16,17,Broadbanded thornyhead pacific_north,Sebastolobus macrochir,Broadbanded thornyhead,34,Miscellaneous demersal fishes,2,16367.654,17517.11193,15086.43594,12089.76069,13278.2205,15363.18338,11959.85837,13311.08303,14237.29421,14998.95105,12446.77628,14849.77578,12735.58631
17,18,Conger eels nei single_stock,Conger spp,Conger eels nei,34,Miscellaneous demersal fishes,Medium,7329.854024,6900.185402,7180.939434,6601.551405,6104.191116,7108.870509,7425.263717,7389.556439,7427.800988,7773.940189,8075.82412,8879.892355,8845.479468
18,19,"Crison seabream, Yellowback seabream single_stock","Evynnis japonica, Dentex tumifrons","Crison seabream, Yellowback seabream",33,Miscellaneous coastal fishes,Medium,5814.166434,4971.727103,5140.256507,4842.283602,5281.500787,4832.740537,4608.906706,4222.288563,4236.988686,3963.955103,3626.427093,3739.060156,4446.521618
19,20,Cuttlefishes nei single_stock,Sepia spp,Cuttlefishes nei,57,"Squids, cuttlefishes, octopuses",Medium,4840.655046,4956.570433,4532.819309,5600.759714,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,21,Daggertooth pike conger single_stock,Muraenesox cinereus,Daggertooth pike conger,34,Miscellaneous demersal fishes,2,6247.090569,6180.569704,6444.907636,5739.281442,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,22,Dolphinfishes nei single_stock,Coryphaenidae,Dolphinfishes nei,37,Miscellaneous pelagic fishes,Medium,1331.67286,1477.081345,1399.506449,1480.519044,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,23,Dotted gizzard shad single_stock,Konosirus punctatus,Dotted gizzard shad,24,Shads,1,1494.379687,1532.198902,1299.296666,1323.401336,1836.277562,1871.100928,1499.853114,1582.229169,1839.382239,2179.525109,1781.987808,1970.287885,1557.693932
23,24,Flyingfishes nei single_stock,Exocoetidae,Flyingfishes nei,37,Miscellaneous pelagic fishes,Medium,2946.979899,2686.370969,2369.212373,2145.140145,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,25,Frigate and bullet tunas single_stock,"Auxis thazard, A. rochei",Frigate and bullet tunas,36,"Tunas, bonitos, billfishes",Medium,NA,2700.821558,1361.655068,956.6263176,895.5274285,1490.075602,1509.643795,985.9373192,732.0826787,896.6283726,993.2844371,1088.715994,2100.594165
25,26,Imperial surf clam single_stock,Pseudocardium sybillae,Imperial surf clam,56,"Clams, cockles, arkshells",Medium,3707.283276,2742.58158,2783.446251,3761.769695,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,28,Japanese amberjack single_stock,Seriola quinqueradiata,Japanese amberjack,37,Miscellaneous pelagic fishes,3,5002.932677,4648.119352,3973.420964,4135.081196,4114.149452,3731.995861,3459.197056,3469.085602,3477.027497,3324.469908,3022.700079,3225.078852,3372.380026
27,29,Japanese anchovy pacific_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,557.8278913,588.5893219,566.5463828,471.4266016,560.1030082,628.2333862,488.0557575,487.8990357,541.0413592,601.3743092,542.6904031,535.4897378,524.682211
28,30,Japanese anchovy seto_inland_sea_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,1633.539099,1181.566481,1137.714915,1371.638171,1358.955357,1419.87384,1129.506293,1181.773504,2251.728121,1313.741868,1171.036157,1083.89128,1175.919107
29,31,Japanese anchovy tsushima_current_stock,Engraulis japonicus,Japanese anchovy,35,"Herrings, sardines, anchovies",1,565.4916809,1024.884639,1173.766841,988.3042963,1052.423543,992.2065187,856.3680778,1519.529987,1531.151569,772.3236882,634.9190982,617.2138141,1362.632683
30,32,Japanese carpet shell single_stock,Ruditapes philippinarum,Japanese carpet shell,56,"Clams, cockles, arkshells",Medium,4545.059293,5120.325571,4743.991379,4934.269234,4749.782927,4801.731777,6358.127778,5833.388056,6003.078083,5521.593059,5661.511185,5988.843796,5899.599999
31,33,Japanese flying squid winter_stock,Todarodes pacificus,Japanese flying squid,57,"Squids, cuttlefishes, octopuses",Medium,2408.539991,2595.671126,2935.358384,2888.779165,2584.046904,2401.097169,2152.476894,2477.047077,2561.645965,2566.131249,2507.40486,2905.103644,3193.953113
32,34,Japanese hard clam single_stock,Meretrix lusoria,Japanese hard clam,56,"Clams, cockles, arkshells",Medium,10447.22568,10349.82304,11434.70617,12526.46905,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,35,Japanese jack mackerel pacific_stock,Trachurus japonicus,Japanese jack mackerel,37,Miscellaneous pelagic fishes,3,2215.977439,1959.496779,2162.728469,2363.704887,2126.752439,2251.586681,2535.957308,2772.839923,2309.787614,3037.843265,2900.398198,3342.595036,3474.071662
34,36,Japanese jack mackerel tsushima_current_stock,Trachurus japonicus,Japanese jack mackerel,37,Miscellaneous pelagic fishes,3,1803.572068,1496.957489,1722.373538,1695.427163,1989.367248,2119.018301,1928.052832,2054.398206,2027.226,2151.348483,2032.180964,2304.937499,1740.815271
35,37,Japanese pilchard pacific_stock,Sardinops melanostictus,Japanese pilchard,35,"Herrings, sardines, anchovies",Medium,2419.774812,2297.737189,2445.980275,2120.090336,1258.998869,1311.2469,1768.607195,1844.369701,1525.021385,1554.559062,1368.743631,1311.212304,1066.038838
36,38,Japanese pilchard tsushima_current_stock,Sardinops melanostictus,Japanese pilchard,35,"Herrings, sardines, anchovies",Medium,3395.015611,2979.532609,2786.953939,2377.045714,1734.94809,2183.633556,2364.150914,2568.516938,1493.290394,1673.564767,860.3102958,1600.718214,1039.420953
37,39,Japanese sandfish hokkaido,Arctoscopus japonicus,Japanese sandfish,34,Miscellaneous demersal fishes,3,5397.63002,4854.068594,4493.51585,3517.310253,4434.69657,5774.566474,3825,3422.053232,3654.232425,3354.943274,4441.558442,3505.524862,3285.229202
38,40,Japanese sandfish sea_of_japan_north_stock,Arctoscopus japonicus,Japanese sandfish,34,Miscellaneous demersal fishes,3,3075.383476,2510.679092,2380.965271,2499.735491,3917.955585,1833.477213,1702.52864,2141.027755,2323.156486,2378.869305,2218.188979,2646.910751,2612.351985
39,41,Japanese sandfish sea_of_japan_west_stock,Arctoscopus japonicus,Japanese sandfish,34,Miscellaneous demersal fishes,3,3354.549303,4591.008379,3239.708198,3474.889506,4583.99851,2060.209076,3832.7295,3840.548803,3659.111095,2835.820454,2992.666236,3219.055917,2399.54646
40,42,Japanese seabass single_stock,Lateolabrax japonicus,Japanese seabass,33,Miscellaneous coastal fishes,3,6191.877303,5977.524613,5853.39036,6251.542643,6053.220786,5903.167034,5353.605906,5153.258981,5474.323183,5763.358704,5903.791779,5860.166442,6047.840927
41,43,Japanese seabream pacific_central_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,9991.440015,9754.223248,9011.572907,8975.056978,9895.001417,8476.962604,9093.501308,8026.450977,7396.586566,7590.442034,6800.108107,7503.278342,7831.956282
42,44,Japanese seabream pacific_south_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,11966.80577,9044.583431,10344.95497,11110.19956,10239.47377,10075.94696,9735.869809,9534.344036,7136.11934,8253.456339,8655.904363,8429.060971,8186.838571
43,45,Japanese seabream sea_of_japan_north_central_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,8406.307911,7689.126707,7703.490078,7190.140066,7153.009101,6773.148353,6394.879155,6305.61018,6407.839559,6079.115197,6544.263337,7533.481605,6195.983446
44,46,Japanese seabream sea_of_japan_west_east_china_sea_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,8576.867225,7521.441728,7352.89455,7795.817341,8088.163152,7289.908114,6485.756246,6678.790014,7011.755954,6893.535179,7512.71984,6765.388031,6673.953789
45,47,Japanese seabream seto_inland_sea_central_west_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,8435.316373,8211.69393,7448.137488,8306.244276,7998.850929,7991.830861,6807.749187,6983.736789,6648.017229,7180.551307,7484.475437,7207.351855,7208.703969
46,48,Japanese seabream seto_inland_sea_east_stock,Pagrus major,Japanese seabream,33,Miscellaneous coastal fishes,2,9404.682466,10990.15111,10196.23056,10371.02715,10718.26614,10154.3889,7521.58563,8322.648879,6491.916805,7436.45527,8099.990745,6492.281396,7137.783034
47,49,Japanese Spanish mackerel east_china_sea_stock,Scomberomorus niphonius,Japanese Spanish mackerel,36,"Tunas, bonitos, billfishes",3,6333.641303,5546.956212,5040.936568,4267.070156,3934.015194,4904.046455,4430.345741,4714.826993,6053.487958,4856.215936,5164.976694,4996.242894,4688.647723
48,50,Japanese Spanish mackerel seto_inland_sea_stock,Scomberomorus niphonius,Japanese Spanish mackerel,36,"Tunas, bonitos, billfishes",3,8683.36964,8420.033128,8432.092216,8913.848558,8100.701836,8643.182444,8167.382329,7460.785481,7175.271097,7076.719658,6972.650255,6934.049604,6538.727523
49,51,Japanese spiny lobster single_stock,Panulirus japonicus,Japanese spiny lobster,43,"Lobsters, spiny-rock lobsters",Medium,34428.80884,33715.29874,34461.56547,39370.52368,36982.9016,32690.44373,31078.49133,32928.94738,34556.94223,34335.10859,35937.0771,38707.77379,40283.04767
50,53,Largehead hairtail single_stock,Trichiurus lepturus,Largehead hairtail,34,Miscellaneous demersal fishes,2,5568.253607,5282.836258,5393.80096,5692.241934,4847.553449,5494.858311,5607.616802,5072.951142,5744.897485,5327.88332,5840.095265,5828.116644,6875.111029
51,54,Lizardfishes nei single_stock,Synodontidae,Lizardfishes nei,33,Miscellaneous coastal fishes,Medium,1792.60738,2195.396811,2946.783012,2577.071045,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,55,Mackerels nei pacific_stock,Scombridae,Mackerels nei,37,Miscellaneous pelagic fishes,Medium,1658.561137,1446.167149,1355.178909,1206.15204,1458.429425,1809.791766,1588.055536,1643.996378,1948.811925,1434.662167,1606.978002,1482.647794,1609.094037
53,56,Mackerels nei tsushima_current_stock,Scombridae,Mackerels nei,37,Miscellaneous pelagic fishes,Medium,1921.661948,1813.524078,1709.698522,1620.244778,2253.171783,1984.724909,2192.196828,2233.958116,1985.788741,2239.566692,1803.891489,2110.001984,1363.551844
54,57,Neon flying squid single_stock,Ommastrephes bartrami,Neon flying squid,57,"Squids, cuttlefishes, octopuses",Medium,2763.588488,4266.756659,4543.608191,2928.913649,3505.971882,2355.049608,3268.501218,3089.580299,4436.218606,4727.574806,4703.499555,3700.970749,5366.554491
55,58,Octopuses nei single_stock,Octopus spp,Octopuses nei,57,"Squids, cuttlefishes, octopuses",Medium,5350.37039,5592.950176,5957.907363,6887.015027,6066.03014,6211.432145,5507.845303,5858.552915,6142.656955,6693.95257,6595.581129,6371.831414,6975.607642
56,59,Okhotsk atka mackerel hokkaido_north,Pleurogrammus azonus,Okhotsk atka mackerel,33,Miscellaneous coastal fishes,3,2853.265642,3842.517246,4312.783511,2373.317539,3025.284428,1820.931512,3644.157648,3832.79912,4522.433723,3316.820452,3760.456266,4656.366442,4676.072759
57,60,Pacific bluefin tuna single_stock_exc_sbf_inc_sml,Thunnus orientalis,Pacific bluefin tuna,36,"Tunas, bonitos, billfishes",3,15676.99327,15842.07519,13671.91683,17270.71082,15769.52386,16897.01289,13959.2696,13357.71441,12944.51871,14855.92361,15526.66153,15825.60926,17118.54104
58,62,Pacific cod hokkaido,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",3,2768.397291,2671.299696,2659.010774,2825.565645,2801.874163,3019.954769,2752.845894,2435.44117,2199.942586,2085.471302,1693.090834,2339.132962,3073.733156
59,62,Pacific cod hokkaido,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",2,2768.397291,2671.299696,2659.010774,2825.565645,2801.874163,3019.954769,2752.845894,2435.44117,2199.942586,2085.471302,1693.090834,2339.132962,3073.733156
60,63,Pacific cod pacific_north_stock,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",3,4205.915611,3138.502226,3171.890291,3439.939201,3749.324657,3902.648486,3279.860579,4287.402697,4366.132459,3087.926913,4012.721679,5387.253453,3850.118134
61,63,Pacific cod pacific_north_stock,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",2,4205.915611,3138.502226,3171.890291,3439.939201,3749.324657,3902.648486,3279.860579,4287.402697,4366.132459,3087.926913,4012.721679,5387.253453,3850.118134
62,64,Pacific cod sea_of_japan_stock,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",3,4452.045836,4545.536935,3839.651723,3567.307519,4786.203002,5520.591059,4138.065058,3818.329099,3454.224613,3894.667829,3535.734094,3776.880226,3412.857788
63,64,Pacific cod sea_of_japan_stock,Gadus macrocephalus,Pacific cod,32,"Cods, hakes, haddocks",2,4452.045836,4545.536935,3839.651723,3567.307519,4786.203002,5520.591059,4138.065058,3818.329099,3454.224613,3894.667829,3535.734094,3776.880226,3412.857788
64,65,Pacific herring single_stock,Clupea pallasii,Pacific herring,35,"Herrings, sardines, anchovies",Medium,5486.584882,3105.010725,3392.574208,5452.111963,5368.998579,5466.793172,5037.377654,5195.791945,5777.602197,4344.989694,5745.647325,4142.970055,4381.609684
65,66,Pacific ocean perch single_stock,Sebastes alutus,Pacific ocean perch,34,Miscellaneous demersal fishes,4,14758.91127,14595.80492,10676.42223,13987.85894,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,67,Pacific salmons nei single_stock,Oncorhynchus spp,Pacific salmons nei,23,"Salmons, trouts, smelts",Medium,3644.680525,4429.24257,4879.099606,4881.548776,3898.289196,4662.049968,4426.859134,4943.634894,4992.410017,5358.323245,4511.455147,4024.991261,5011.401719
67,68,Pacific saury single_stock,Cololabis saira,Pacific saury,37,Miscellaneous pelagic fishes,1,2443.618879,2667.631986,2760.32351,2320.930887,2207.975344,1730.835491,2375.157025,1491.783153,2090.589045,1739.069906,2054.588673,1543.941503,3652.719225
68,69,Pufferfishes nei ise_mikawa_bay_stock,Takifugu spp,Pufferfishes nei,33,Miscellaneous coastal fishes,Medium,27827.39905,28353.24718,25139.00197,17168.17552,20379.06845,23918.72939,20250.90909,21365.62097,27730.56951,22434.95729,29370.31185,22572.25169,24088.6683
69,70,Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock,Takifugu spp,Pufferfishes nei,33,Miscellaneous coastal fishes,Medium,6809.90966,6474.390219,6622.661983,6986.316192,7707.828477,9180.643581,7663.612404,6703.072024,5801.423734,6180.022477,6782.353179,6269.793407,6852.647965
70,71,Queen crab okhotsk_stock,Chionoecetes opilio,Queen crab,42,"Crabs, sea-spiders",Medium,3419.795222,3751.978892,4876.847291,6589.486859,3355.400697,3560.43956,3436.893204,4543.68932,5460.674157,5115.107914,4139.372822,3454.183267,6844.421699
71,72,Queen crab pacific,Chionoecetes opilio,Queen crab,42,"Crabs, sea-spiders",Medium,7926.506024,5091.034506,6386.97479,11004.03226,7470,7583.916084,9522.38806,7869.402985,7039.02439,9000,7200,6750,18500
72,73,Queen crab sea_of_japan_stock,Chionoecetes opilio,Queen crab,42,"Crabs, sea-spiders",Medium,17817.17528,18522.8241,19788.08387,17142.64173,18527.70014,19129.58153,18045.6032,16514.95675,18181.59495,18310.68531,21002.88338,23317.24586,29339.21833
73,74,Rays and skates nei single_stock,Rajidae,Rays and skates nei,38,"Sharks, rays, chimaeras",Medium,1943.477919,1764.395966,1748.523087,1714.45459,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,75,Red snow crab single_stock,Chionoecetes japonicus,Red snow crab,42,"Crabs, sea-spiders",Medium,3584.761044,2623.04474,2812.593554,2312.586207,2733.281422,2890.499753,3122.3044,3535.48254,3549.720557,3715.82935,2946.821986,3652.99944,4827.223018
75,76,Red-eye round herring pacific_stock,Etrumeus teres,Red-eye round herring,35,"Herrings, sardines, anchovies",Medium,1655.955794,1288.171976,1066.051454,1023.200565,633.6539823,1303.09515,751.1017449,663.1179884,598.1673367,585.7654825,566.1014814,820.899559,1888.408527
76,77,Red-eye round herring tsushima_current_stock,Etrumeus teres,Red-eye round herring,35,"Herrings, sardines, anchovies",Medium,2353.603437,2049.087906,1264.676707,1244.114797,1138.872771,1522.309522,1658.57996,855.6483297,938.6225355,1073.260075,1966.764608,1516.661239,2060.412465
77,78,Righteye flounders nei hokkaido_north_stock,Pleuronectidae,Righteye flounders nei,31,"Flounders, halibuts, soles",Medium,3565.346973,3337.317693,3399.696886,3387.495042,3521.283065,3361.618474,2979.708559,2692.307692,2636.593402,2367.442882,2187.552902,2408.383059,2733.529783
78,79,Righteye flounders nei pacific_north,Pleuronectidae,Righteye flounders nei,31,"Flounders, halibuts, soles",Medium,7476.293138,7083.4409,7240.06023,6727.212745,6950.803836,7684.659161,6572.070671,7144.198155,7008.172064,6347.686465,6410.741383,6351.590858,6774.885125
79,80,Righteye flounders nei sea_of_japan_stock,Pleuronectidae,Righteye flounders nei,31,"Flounders, halibuts, soles",Medium,6333.36154,5935.277572,6129.309809,5881.562384,5597.68987,5960.447545,5713.205585,5437.493928,5032.515267,5090.111571,5100.445131,5161.723827,4971.916322
80,81,Rudderfish single_stock,Centrolophus niger,Rudderfish,34,Miscellaneous demersal fishes,4,5408.311048,5247.064538,5024.107223,4634.82551,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,82,Sandlances nei ise_mikawa_bay_stock,Ammodytidae,Sandlances nei,33,Miscellaneous coastal fishes,Medium,4341.454665,639.2441298,765.5742624,351.2833116,710.628759,1939.953668,1979.86454,864.0058766,728.8087383,3408.034515,1127.036734,1044.589434,1718.18142
82,83,Sandlances nei sea_of_japan_stock,Ammodytidae,Sandlances nei,33,Miscellaneous coastal fishes,Medium,6033.255269,5264.945392,6681.793722,5593.50616,6820.560928,6523.796791,7193.095839,5415.254237,6934.782609,6000,4750,7500,7300
83,84,Sandlances nei sendai_bay_stock,Ammodytidae,Sandlances nei,33,Miscellaneous coastal fishes,Medium,1795.134903,1770.888331,2306.811149,2921.309139,3629.696582,2306.140096,2761.323379,2798.391511,1602.272727,5165.625,1811.52577,2784.200018,2287.214134
84,85,Sandlances nei seto_inland_sea_east_stock,Ammodytidae,Sandlances nei,33,Miscellaneous coastal fishes,Medium,3024.085454,3180.114667,2987.429653,1541.57591,4113.537325,3044.92492,5987.016821,3209.551422,2100.053436,1988.447796,3376.322896,4208.589077,3476.362638
85,86,Sandlances nei soya_strait,Ammodytidae,Sandlances nei,33,Miscellaneous coastal fishes,Medium,572.6267081,575.9879689,352.294385,299.4526732,427.8036546,489.9324457,527.0217221,420.0525394,600.943666,782.5013714,608.4762866,2457.236842,705.4393305
86,87,Sea cucumbers nei single_stock,Holothuroidea,Sea cucumbers nei,76,Sea-urchins and other echinoderms,Medium,5665.296534,5547.555997,6063.474357,6867.247413,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,88,Sea urchins nei single_stock,Strongylocentrotus spp,Sea urchins nei,76,Sea-urchins and other echinoderms,Medium,9818.414445,10981.94087,10012.74394,11684.79445,10050.41044,9466.790316,9581.903292,10022.46594,11609.78965,11214.98469,10500.04854,11222.99317,11352.59658
88,89,Skipjack tuna single_stock,Katsuwonus pelamis,Skipjack tuna,36,"Tunas, bonitos, billfishes",3,2783.565335,3487.431399,3371.162045,3488.262479,3430.043208,3527.575381,3893.624971,3409.243707,3655.837338,3966.80348,3844.549852,4142.834683,5423.452175
89,90,Smelts nei pacific_stock,"Osmerus spp, Hypomesus spp",Smelts nei,23,"Salmons, trouts, smelts",Medium,4210.032903,3753.775168,2317.242304,2198.500985,1663.804945,2231.404403,2371.799709,2411.532551,3126.354139,2879.874721,2656.737181,4473.752632,4258.115094
90,91,Smelts nei sea_of_japan_stock,"Osmerus spp, Hypomesus spp",Smelts nei,23,"Salmons, trouts, smelts",Medium,2526.578026,2574.442039,3317.74097,3420.834174,2096.25819,2147.492056,2796.258655,2331.133615,3217.84773,2742.641561,2711.34222,2403.021841,2571.698279
91,92,Southern bluefin tuna single_stock,Thunnus maccoyii,Southern bluefin tuna,36,"Tunas, bonitos, billfishes",2,16957.67563,16812.32714,18033.09718,19450.4331,23970.68441,24763.09134,15417.74203,16562.66458,21445.55316,22130.20423,19916.98251,17710.23722,16046.89403
92,93,Striped marlin single_stock,Tetrapturus audax,Striped marlin,36,"Tunas, bonitos, billfishes",Medium,5140.634954,5306.959329,6837.424096,5897.470484,6022.081666,5650.53107,5660.367977,5935.002642,5394.02795,4762.282992,4602.016399,5281.302437,5645.758654
93,94,"Swimming crabs, etc. nei single_stock",Portunidae,"Swimming crabs, etc. nei",42,"Crabs, sea-spiders",Medium,10936.54751,10350.1496,10737.40161,10199.5514,10130.51887,9728.326551,9563.97794,9730.768583,9257.500861,9339.227476,9178.399486,9720.104553,10910.28764
94,95,Swordfish single_stock,Xiphias gladius,Swordfish,36,"Tunas, bonitos, billfishes",3,6107.700411,6510.921366,7642.927395,6843.286517,7309.76995,8780.103231,7253.202787,7314.273348,6936.409169,7111.198744,6823.05672,7245.924289,7479.819185
95,96,Tilefishes nei single_stock,Branchiostegidae,Tilefishes nei,34,Miscellaneous demersal fishes,Medium,17986.67176,18099.22262,17793.02831,16966.35706,17344.87809,18555.22893,17909.62713,17401.56908,17058.96446,17900.58226,19833.75837,20739.43102,21644.96443
96,97,Trouts nei single_stock,Salmo spp,Trouts nei,23,"Salmons, trouts, smelts",Medium,9060.186037,10863.61953,9405.343302,8394.349714,10279.03196,11425.76446,12687.11217,8854.689647,10227.23939,13529.74001,13694.76434,10266.06013,15288.95851
97,98,Turbans nei single_stock,Turbo spp,Turbans nei,52,"Abalones, winkles, conchs",Medium,8118.222746,8603.657736,7440.917211,8197.43323,7248.034135,6788.991606,6510.002742,6220.27731,6744.733711,7139.238417,7431.583552,6571.473756,7173.322393
98,99,Whitebait smelt single_stock,Allosmerus elongatus,Whitebait smelt,23,"Salmons, trouts, smelts",3,4199.031132,5558.811779,4414.352766,4431.655729,4842.578462,4088.746375,4785.751942,4195.013706,5602.04618,4606.263384,3262.1727,4049.478373,4408.541439
99,101,Yellowfin tuna single_stock,Thunnus albacares,Yellowfin tuna,36,"Tunas, bonitos, billfishes",3,4354.333342,5205.017671,4523.838521,5547.759295,6051.041223,5570.774461,5220.35197,5632.916696,5691.124312,5545.211509,5392.746643,4786.652969,6852.340375
100,102,Yesso scallop single_stock,Patinopecten yessoensis,Yesso scallop,55,"Scallops, pectens",Medium,5750.342664,5904.826575,4193.222907,4511.604637,5990.846608,5138.199453,5012.207804,5891.853785,4060.995897,4457.245041,1618.983613,1548.357682,4452.74978