Fishery,Country,Species,Scientific,Time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_domestic,theta_legal1_lower,theta_legal1_expected,theta_legal1_upper,theta_legal2_lower,theta_legal2_expected,theta_legal2_upper,p1_lower,p1_expected,p1_upper,p2_lower,p2_expected,p2_upper,beta_lower,beta_expected,beta_upper,c1_lower,c1_expected,c1_upper,c2_lower,c2_expected,c2_upper,disc_lower,disc_expected,disc_upper,gamma_p1,gamma_p2,gamma_c1,gamma_c2,lambda,split
Albacore single_stock,Japan,Albacore,Thunnus alalunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy pacific_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy seto_inland_sea_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy tsushima_current_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod hokkaido,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod pacific_north_stock,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod sea_of_japan_stock,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipjack tuna single_stock,Japan,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern bluefin tuna single_stock,Japan,Southern bluefin tuna,Thunnus maccoyii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striped marlin single_stock,Japan,Striped marlin,Tetrapturus audax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swordfish single_stock,Japan,Swordfish,Xiphias gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska pollock(=Walleye poll.) pacific_stock,Japan,Alaska pollock(=Walleye poll.),Theragra chalcogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska pollock(=Walleye poll.) sea_of_japan_north_stock,Japan,Alaska pollock(=Walleye poll.),Theragra chalcogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese jack mackerel pacific_stock,Japan,Japanese jack mackerel,Trachurus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese jack mackerel tsushima_current_stock,Japan,Japanese jack mackerel,Trachurus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific bluefin tuna single_stock_exc_sbf_inc_sml,Japan,Pacific bluefin tuna,Thunnus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific bluefin tuna single_stock_inc_sbf_exc_sml,Japan,Pacific bluefin tuna,Thunnus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific ocean perch single_stock,Japan,Pacific ocean perch,Sebastes alutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific saury single_stock,Japan,Pacific saury,Cololabis saira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-eye round herring pacific_stock,Japan,Red-eye round herring,Etrumeus teres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-eye round herring tsushima_current_stock,Japan,Red-eye round herring,Etrumeus teres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut pacific_central_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut pacific_north_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut sea_of_japan_north_central_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut sea_of_japan_west_east_china_sea_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut seto_inland_sea_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigeye tuna single_stock,Japan,Bigeye tuna,Thunnus obesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue marlin single_stock,Japan,Blue marlin,Makaira nigricans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotted gizzard shad single_stock,Japan,Dotted gizzard shad,Konosirus punctatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Spanish mackerel east_china_sea_stock,Japan,Japanese Spanish mackerel,Scomberomorus niphonius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Spanish mackerel seto_inland_sea_stock,Japan,Japanese Spanish mackerel,Scomberomorus niphonius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largehead hairtail single_stock,Japan,Largehead hairtail,Trichiurus lepturus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow croaker single_stock,Japan,Yellow croaker,Larimichthys polyactis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowfin tuna single_stock,Japan,Yellowfin tuna,Thunnus albacares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abalones nei single_stock,Japan,Abalones nei,Haliotis spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amberstripe scad single_stock,Japan,Amberstripe scad,Decapterus muroadsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctic krill nei single_stock,Japan,Antarctic krill nei,Euphausia spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackhead seabream single_stock,Japan,Blackhead seabream,"Acanthopagrus schlegeli, Rhabdosargus sarba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blackhead seabream, Goldlined seabream single_stock",Japan,"Blackhead seabream, Goldlined seabream","Acanthopagrus schlegeli, Rhabdosargus sarba",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadbanded thornyhead hokkaido_east_hokkaido_south,Japan,Broadbanded thornyhead,Sebastolobus macrochir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadbanded thornyhead pacific_north,Japan,Broadbanded thornyhead,Sebastolobus macrochir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conger eels nei single_stock,Japan,Conger eels nei,Conger spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crison seabream, Yellowback seabream single_stock",Japan,"Crison seabream, Yellowback seabream","Evynnis japonica, Dentex tumifrons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuttlefishes nei single_stock,Japan,Cuttlefishes nei,Sepia spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daggertooth pike conger single_stock,Japan,Daggertooth pike conger,Muraenesox cinereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolphinfishes nei single_stock,Japan,Dolphinfishes nei,Coryphaenidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flyingfishes nei single_stock,Japan,Flyingfishes nei,Exocoetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frigate and bullet tunas single_stock,Japan,Frigate and bullet tunas,"Auxis thazard, A. rochei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial surf clam single_stock,Japan,Imperial surf clam,Pseudocardium sybillae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-Pacific gurnards single_stock,Japan,Indo-Pacific gurnards,Chelidonichthys spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese amberjack single_stock,Japan,Japanese amberjack,Seriola quinqueradiata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese carpet shell single_stock,Japan,Japanese carpet shell,Ruditapes philippinarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese flying squid winter_stock,Japan,Japanese flying squid,Todarodes pacificus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese hard clam single_stock,Japan,Japanese hard clam,Meretrix lusoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese pilchard pacific_stock,Japan,Japanese pilchard,Sardinops melanostictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese pilchard tsushima_current_stock,Japan,Japanese pilchard,Sardinops melanostictus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese sandfish hokkaido,Japan,Japanese sandfish,Arctoscopus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese sandfish sea_of_japan_north_stock,Japan,Japanese sandfish,Arctoscopus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese sandfish sea_of_japan_west_stock,Japan,Japanese sandfish,Arctoscopus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabass single_stock,Japan,Japanese seabass,Lateolabrax japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream pacific_central_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream pacific_south_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream sea_of_japan_north_central_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream sea_of_japan_west_east_china_sea_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream seto_inland_sea_central_west_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese seabream seto_inland_sea_east_stock,Japan,Japanese seabream,Pagrus major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese spiny lobster single_stock,Japan,Japanese spiny lobster,Panulirus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King crabs single_stock,Japan,King crabs,Paralithodes spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizardfishes nei single_stock,Japan,Lizardfishes nei,Synodontidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackerels nei pacific_stock,Japan,Mackerels nei,Scombridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackerels nei tsushima_current_stock,Japan,Mackerels nei,Scombridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neon flying squid single_stock,Japan,Neon flying squid,Ommastrephes bartrami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octopuses nei single_stock,Japan,Octopuses nei,Octopus spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okhotsk atka mackerel hokkaido_north,Japan,Okhotsk atka mackerel,Pleurogrammus azonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific herring single_stock,Japan,Pacific herring,Clupea pallasii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific salmons nei single_stock,Japan,Pacific salmons nei,Oncorhynchus spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pufferfishes nei ise_mikawa_bay_stock,Japan,Pufferfishes nei,Takifugu spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock,Japan,Pufferfishes nei,Takifugu spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab okhotsk_stock,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab pacific,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab sea_of_japan_stock,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rays and skates nei single_stock,Japan,Rays and skates nei,Rajidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red snow crab single_stock,Japan,Red snow crab,Chionoecetes japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei hokkaido_north_stock,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei pacific_north,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei sea_of_japan_stock,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudderfish single_stock,Japan,Rudderfish,Centrolophus niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei ise_mikawa_bay_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei sea_of_japan_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei sendai_bay_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei seto_inland_sea_east_stock,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandlances nei soya_strait,Japan,Sandlances nei,Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea cucumbers nei single_stock,Japan,Sea cucumbers nei,Holothuroidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea urchins nei single_stock,Japan,Sea urchins nei,Strongylocentrotus spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelts nei pacific_stock,Japan,Smelts nei,"Osmerus spp, Hypomesus spp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelts nei sea_of_japan_stock,Japan,Smelts nei,"Osmerus spp, Hypomesus spp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swimming crabs, etc. nei single_stock",Japan,"Swimming crabs, etc. nei",Portunidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilefishes nei single_stock,Japan,Tilefishes nei,Branchiostegidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trouts nei single_stock,Japan,Trouts nei,Salmo spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turbans nei single_stock,Japan,Turbans nei,Turbo spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitebait smelt single_stock,Japan,Whitebait smelt,Allosmerus elongatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesso scallop single_stock,Japan,Yesso scallop,Patinopecten yessoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,