Fish,stock_code
bluefin_tuna,0
southern_bluefin_tuna,0
albacore_tuna,0
bigeye_tuna,0
yellowfin_tuna,0
other_tuna,0
marlin,0
swordfish,0
blue_marlin,0
other_kajiki,0
skipjack,0
auxis,0
shark,0
salmon,0
trout,0
shad,0
herring,0
japanese_sardine,1
japanese_sardine,2
round_herring,1
round_herring,2
japanese_anchovy,1
japanese_anchovy,2
japanese_anchovy,3
whitebait,1
japanese_jack_mackerel,1
japanese_jack_mackerel,2
amberstripe_scad,1
mackerel,1
mackerel,2
mackerel,3
saury,1
yellowtail,1
bastard_halibut,1
bastard_halibut,2
bastard_halibut,3
bastard_halibut,4
righteye_flounder,1
righteye_flounder,2
righteye_flounder,3
cod,1
cod,2
cod,3
pollock,1
pollock,2
pollock,3
pollock,4
atka_mackerel,1
atka_mackerel,2
atka_mackerel,3
red_rock_fish,0
broadbanded_thornyhead,1
broadbanded_thornyhead,2
broadbanded_thornyhead,3
sandfish,1
sandfish,2
smelt,1
smelt,2
yellow_croaker,0
other_croaker,0
lizardfish,0
rudderfish,0
conger_eel,1
daggertooth_pike_conger,0
largehead_hairtail,1
spiny_red_gurnard,0
redwing_searobin,0
rays,0
japanese_seabream,1
japanese_seabream,2
japanese_seabream,3
crimson_seabream_and_yellowback_seabream,0
crimson_seabream,0
yellowback_seabream,1
blackhead_seabream_and_goldlined_seabream,0
threeline_grunt,0
japanese_spanish_mackerel,1
japanese_spanish_mackerel,2
dolphinfish,0
flyingfish,0
flathead_mullet,0
japanese_seabass,0
sand_lance,1
sand_lance,2
sand_lance,3
tilefish,1
pufferfish,1
pufferfish,2
other_fish,0
spiny_lobster,0
japanese_shrimp,0
other_shrimp,0
king_crab,0
snow_crab,0
snow_crab,1
snow_crab,2
snow_crab,3
red_snow_crab,1
swimming_crab,0
other_crab,0
krill,0
abalone,0
spiny_top_shell,0
japanese_hard_clam,0
manila_clam,0
scallop,0
surf_clam,0
half-crenate_ark_shell,0
other_shellfish,0
golden_cuttlefish,0
japanese_common_squid,1
japanese_common_squid,2
neon_flying_squid,1
other_squid,0
octopus,0
sea_urchin,0
sea_cucumber,0
marine_mammals,0
other_fish,0
kelp,0
wakame_seaweed,0
hijiki_seaweed,0
tengusa_seaweed,0
funori_seaweed,0
other_seaweed,0