県名,データ年,海面漁業生産額,水産食料品生産額,海面漁業県内需要,水産食料品県内需要,海面漁業移輸出,水産食料品移輸出,海面漁業移輸入,水産食料品移輸入,水産食料品の海面漁業への需要,家計消費の海面漁業への需要,海面漁業移輸出率,水産食料品移輸出率,海面漁業移輸入率,水産食料品移輸入率,海面漁業自給率,水産食料品自給率,海面漁業生産額における水産食料品の占める割合,海面漁業生産額における家計消費の占める割合,移出&水産食料品&家計消費,海面漁業_影響力係数,海面漁業_感応度係数
北海道,2011,282786,575780,250705,238739,78102,495601,46021,158560,219861,14572,0.276187647,0.86074716,0.183566343,0.664156254,0.816433657,0.335843746,0.634762401,0.042070934,0.953020982,0.918330714,0.947938652
青森,2011,42373,NA,45681,NA,31424,NA,34732,NA,NA,4054,0.741604324,NA,0.760316105,NA,0.239683895,NA,NA,0.022931549,0.764535872,0.946058118,0.825003865
岩手,2013,31471,50541,21744,31481,18737,44850,9010,25789,17129,2184,0.595373518,0.88739835,0.414367182,0.819192529,0.585632818,0.180807471,0.318747563,0.040641291,0.954762372,0.89085614,0.95395946
宮城,2013,46193,89064,28513,77369,36105,77345,18425,65650,39034,4730,0.781611933,0.868420462,0.646196472,0.848531065,0.353803528,0.151468935,0.132857273,0.036228231,0.950697437,0.917911251,0.798875339
秋田,2011,3999,NA,5167,NA,2303,NA,3471,NA,NA,930,0.575893973,NA,0.671763112,NA,0.328236888,NA,NA,0.07633416,0.652228133,0.90773,0.793108
山形,2011,3068,NA,5418,NA,594,NA,2944,NA,NA,1768,0.193611473,NA,0.543373939,NA,0.456626061,NA,NA,0.263140442,0.456751915,0.94838477,0.809995865
福島,2015,10488,NA,17411,NA,7045,NA,13968,NA,NA,4237,0.671720061,NA,0.80225145,NA,0.19774855,NA,NA,0.079887548,0.751607609,0.924028739,0.804781454
茨城,2015,12505,137133,65893,79232,10897,121320,64285,63419,56467,4341,0.871411435,0.884688587,0.975596801,0.800421547,0.024403199,0.199578453,0.110193958,0.008471354,0.990076748,0.871136609,0.753465943
栃木,2015,1764,NA,10246,NA,759,NA,9241,NA,NA,3589,0.430272109,NA,0.901912942,NA,0.098087058,NA,NA,0.199566016,0.629838125,1.006572388,0.833374664
群馬,2011,614,NA,14327,NA,329,NA,14042,NA,NA,2803,0.535830619,NA,0.980107489,NA,0.019892511,NA,NA,0.090812227,0.626642846,0.984209603,0.767159435
埼玉,2015,0,32442,39273,225083,0,15704,39273,208345,8361,15854,0,0.484063868,1,0.925636321,0,0.074363679,0,0,0,0.831442243,0.831442243
千葉,2015,28642,284750,133831,243030,18309,259081,123498,217361,15887,103735,0.639236087,0.909854258,0.922790684,0.894379295,0.077209316,0.105620705,0.042826074,0.279635096,0.961697257,0.904216752,0.790391225
東京,2011,22546,22409,93796,586261,17457,13689,88707,577541,3395,30863,0.774283687,0.610870632,0.945743955,0.985126079,0.054256045,0.014873921,0.008169931,0.074270572,0.85672419,NA,NA
神奈川,2015,21042,57775,53606,296119,18814,28740,51378,267084,16535,21621,0.894116529,0.497446993,0.958437488,0.901948203,0.041562512,0.098051797,0.03266021,0.042706162,0.969482901,0.917879631,0.790613368
新潟,2011,13351,66394,17198,77949,7697,58579,11544,70134,6734,5337,0.576511123,0.882293581,0.671240842,0.899742139,0.328759158,0.100257861,0.165820101,0.131419941,0.873751164,0.890585703,0.789362831
富山,2011,11543,12264,15288,28818,11418,30123,12721,25982,3244,2292,0.989170926,2.456213307,0.832090529,0.901589284,0.167909471,0.098410716,0.047188627,0.033340424,1.069699977,0.913466325,0.781544986
石川,2011,19571,19543,10505,37193,18329,15741,9263,33390,314202,4458,0.936538756,0.805454638,0.881770585,0.897749577,0.118229415,0.102250423,1.898110394,0.026931007,2.861580157,0.949856291,0.823570894
福井,2011,9295,NA,5589,NA,6497,NA,2790,NA,NA,1420,0.698977945,NA,0.499194847,NA,0.500805153,NA,NA,0.076508157,0.775486102,0.937907,0.800059
山梨,2015,0,12580,11158,20766,0,11432,11158,19618,3203,808,0,0.908744038,1,0.944717326,0,0.055282674,0,0,0,0.47163,0.47163
長野,2011,0,15671,14374,58897,0,7612,14374,50837,5000,1787,0,0.485737987,1,0.863150924,0,0.136849076,0,0,0,0.766771462,0.766771462
岐阜,2015,5030,NA,14441,NA,2889,NA,12300,NA,NA,1680,0.574353877,NA,0.851741569,NA,0.148258431,NA,NA,0.049517726,0.623871603,1.001996717,0.779611659
静岡,2011,50797,285496,111294,135663,36201,238240,96698,88407,91083,7955,0.712660196,0.834477541,0.86885187,0.651666261,0.13114813,0.348333739,0.23515887,0.020538287,0.968357354,NA,NA
愛知,2011,20064,103465,56498,224444,2728,68407,39162,189386,25616,14235,0.135964912,0.661160779,0.69315728,0.843800681,0.30684272,0.156199319,0.391750554,0.21769867,0.745414137,0.90047072,0.76626202
三重,2015,50040,119099,71464,67778,22789,93693,44213,42372,52537,11503,0.455415667,0.786681668,0.618675137,0.625158606,0.381324863,0.374841394,0.400353004,0.087657472,0.943426143,0.959190293,0.983411656
滋賀,2011,2598,NA,9456,NA,2052,NA,8910,NA,NA,3858,0.789838337,NA,0.942258883,NA,0.057741117,NA,0,0.085744892,0.875583229,0.956851326,0.825012504
京都,2011,3734,22236,16408,56770,2271,16037,14946,50572,3763,5655,0.608194965,0.721217845,0.910897123,0.890822618,0.089102877,0.109177382,0.089794891,0.134942894,0.832932751,0.947758337,0.80725801
大阪,2013,3148,62245,30820,264531,763,40264,28435,242550,9306,9934,0.242376112,0.646863202,0.922615185,0.916905769,0.077384815,0.083094231,0.228762099,0.244199731,0.715337942,0.893217237,0.735530472
兵庫,2015,45668,104564,50777,179316,7718,81381,12827,156133,18979,14838,0.169002365,0.778288895,0.252614373,0.87071427,0.747385627,0.12928573,0.310603307,0.24283323,0.722438902,0.976801835,0.964397687
奈良,2011,145,NA,5691,NA,66,NA,5612,NA,NA,86,0.455172414,NA,0.986118433,NA,0.013881567,NA,0,0.008233205,0.463405619,0.936795731,0.822380193
和歌山,2015,15519,18749,9177,33597,11397,10917,5055,25765,4401,2508,0.734390102,0.582271054,0.550833606,0.766883948,0.449166394,0.233116052,0.127378137,0.07258904,0.934357279,0.976918336,0.896511809
鳥取,2011,17036,NA,51875,NA,9941,NA,44780,NA,NA,1301,0.583528997,NA,0.863228916,NA,0.136771084,NA,NA,0.010444892,0.593973889,0.90679003,0.811422239
島根,2015,23537,NA,12676,NA,12696,NA,1835,NA,NA,1535,0.539406042,NA,0.144761754,NA,0.855238246,NA,NA,0.055775617,0.595181659,0.892489236,0.88682077
岡山,2011,8318,NA,10370,NA,4241,NA,6293,NA,NA,3502,0.509858139,NA,0.606846673,NA,0.393153327,NA,NA,0.165523317,0.675381456,0.933829008,0.777560084
広島,2011,25533,NA,34908,NA,18023,NA,27398,NA,NA,8119,0.705870834,NA,0.784863069,NA,0.215136931,NA,NA,0.068409382,0.774280216,0.898159006,0.733588446
山口,2011,21165,NA,20396,NA,12521,NA,11752,NA,NA,5785,0.591589889,NA,0.57619141,NA,0.42380859,NA,NA,0.115839012,0.707428901,0.965081252,0.797310786
徳島,2011,10110,NA,7021,NA,8111,NA,5022,NA,NA,1620,0.802274975,NA,0.715282723,NA,0.284717277,NA,NA,0.045622353,0.847897328,0.960221767,0.818602353
香川,2015,21028,NA,14624,NA,18346,NA,11942,NA,NA,2367,0.872455773,NA,0.816602845,NA,0.183397155,NA,NA,0.020643954,0.893099727,0.995385136,0.785848773
愛媛,2015,84279,60136,29059,56157,69927,50355,14707,46376,17071,3859,0.829708468,0.837352002,0.506108263,0.825827591,0.493891737,0.174172409,0.100039462,0.022614509,0.95236244,1.082219635,0.945399864
高知,2015,56639,NA,26543,NA,41068,NA,10972,NA,NA,8359,0.725083423,NA,0.413366989,NA,0.586633011,NA,NA,0.086577541,0.811660964,1.050015545,0.943164848
福岡,2015,30665,NA,51667,NA,21823,NA,42825,NA,NA,11882,0.711658242,NA,0.82886562,NA,0.17113438,NA,NA,0.066310735,0.777968978,0.968882241,0.750859574
佐賀,2015,28340,NA,16291,NA,27037,NA,14987,NA,NA,2097,0.954022583,NA,0.919955804,NA,0.080044196,NA,NA,0.005922819,0.959945402,1.00532778,0.800728321
長崎,2015,100737,NA,58089,NA,61206,NA,18558,NA,NA,4452,0.60758212,NA,0.319475288,NA,0.680524712,NA,NA,0.030075305,0.637657425,0.993443153,0.905286871
熊本,2011,35446,NA,20445,NA,17479,NA,2478,NA,NA,4624,0.49311629,NA,0.121203228,NA,0.878796772,NA,NA,0.114640757,0.607757047,1.074618873,0.848790789
大分,2015,41388,NA,23414,NA,31519,NA,12545,NA,NA,2647,0.761549241,NA,0.535790553,NA,0.464209447,NA,NA,0.029688857,0.791238098,1.008847111,0.856160691
宮崎,2015,50568,NA,10997,NA,44439,NA,4867,NA,NA,2381,0.878796868,NA,0.442575248,NA,0.557424752,NA,NA,0.026246408,0.905043275,1.018166013,0.81390523
鹿児島,2015,108986,NA,46234,NA,73229,NA,10477,NA,NA,3701,0.671911989,NA,0.226608124,NA,0.773391876,NA,NA,0.02626322,0.698175209,1.109538286,0.89351482
沖縄,2015,16248,NA,8203,NA,7831,NA,1185,NA,NA,1620,0.481967011,NA,0.144459344,NA,0.855540656,NA,NA,0.085301321,0.567268332,0.944912678,0.796274953