部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明, 行和, 感応度係数
耕種農業,1.009201,0.039924,0.005538,0.002981,0.000104,0,0,0.000012,0.016514,0.000376,0.424539,0.031523,0.048325,0.010963,0.150904,0.004992,0.000333,0.001084,0.000039,0.000385,0.000058,0.000013,0.000026,0.000015,0.000011,0.000016,0.002152,0.001064,0.000007,0.000004,0.013963,0.000145,0.000015,0.000009,0.000128,0,0,0.000002,0.000005,0.000003,0,0.00001,0.000005,0.000004,0.00001,0.000012,0.00001,0.00001,0.00001,0.000012,0.00001,0.00001,0.000006,0.00001,0.000009,0.000007,0.00001,0.000009,0.002114,0.000008,0.000368,0.000016,0.001037,0.000004,0.000007,0.000013,0.000011,0.000009,0.000127,0.000009,0.000013,0.000008,0.000005,0.000006,0.00001,0.000021,0.000013,0.000024,0.000012,0.000026,0.000076,0.000004,0.000011,0.000089,0.000031,0.000012,0.00018,0.000062,0.000382,0.004287,0.003327,0.001298,0.00005,0.000044,0.000009,0.000014,0.014531,0.017537,0.000047,0.000931,0.003826,0.000046,0.00002,1.8162,1.397911
畜産,0.007855,1.036599,0.017165,0.00022,0.000015,0,0,0.000004,0.420842,0.000094,0.003305,0.007355,0.016177,0.002251,0.009459,0.001042,0.000187,0.000048,0.000011,0.000196,0.000028,0.00001,0.000438,0.000069,0.000068,0.000053,0.000685,0.000696,0.000003,0.000017,0.000135,0.002961,0.000038,0.000018,0.000024,0,0,0.000006,0.000009,0.000014,0,0.000014,0.000011,0.000007,0.000025,0.000054,0.000057,0.000058,0.000063,0.000077,0.000067,0.00008,0.000027,0.000067,0.000063,0.000047,0.000012,0.000025,0.000277,0.000006,0.000006,0.000003,0.000012,0.000004,0.000008,0.000002,0.000002,0.000005,0.000005,0.000002,0.000002,0.000002,0.000001,0.000005,0.000003,0.000004,0.000005,0.000007,0.000005,0.00001,0.000023,0.000001,0.000018,0.000012,0.000019,0.000009,0.000031,0.000889,0.000161,0.001462,0.00129,0.000016,0.000008,0.000007,0.000004,0.000003,0.006284,0.012672,0.000003,0.000029,0.000564,0.000011,0.00003,1.552773,1.195154
農業サービス,0.052509,0.096108,1.001842,0.000392,0.000007,0,0,0.000002,0.039034,0.000028,0.022089,0.002286,0.003949,0.000767,0.008604,0.000351,0.000034,0.0001,0.000004,0.000039,0.000006,0.000002,0.000041,0.000008,0.000008,0.000007,0.000174,0.000119,0.000001,0.000002,0.000731,0.000277,0.000005,0.000003,0.00001,0,0,0.000001,0.000002,0.000002,0,0.000002,0.000004,0.000002,0.000004,0.000007,0.000007,0.000008,0.00001,0.00001,0.000011,0.00001,0.000005,0.000011,0.000007,0.000005,0.000003,0.000003,0.000135,0.000001,0.000021,0.000002,0.000055,0.000001,0.000002,0.000001,0.000002,0.000002,0.000008,0.000002,0.000002,0.000001,0,0.000008,0.000001,0.000002,0.000002,0.000003,0.000003,0.000003,0.000007,0.000001,0.000015,0.000065,0.000019,0.000002,0.001145,0.000084,0.000035,0.000353,0.000288,0.000069,0.000004,0.000031,0.000001,0.000003,0.001319,0.002052,0.000005,0.000954,0.00025,0.000004,0.000005,1.236623,0.951817
林業,0.00017,0.000101,0.000026,1.162848,0.00018,0,0,0.000091,0.000057,0.000125,0.000075,0.000182,0.001431,0.000074,0.00183,0.000017,0.000011,0.208805,0.005858,0.004516,0.000628,0.000114,0.000044,0.00011,0.000026,0.000019,0.000026,0.000388,0.000018,0.000023,0.000024,0.000851,0.000683,0.000047,0.000304,0,0,0.00001,0.000025,0.000015,0,0.000059,0.000073,0.000051,0.000026,0.000023,0.000077,0.00002,0.000038,0.000034,0.00005,0.00002,0.000027,0.000023,0.00002,0.000014,0.000486,0.000182,0.001022,0.000011,0.003604,0.000942,0.000217,0.000046,0.000044,0.000057,0.000032,0.000086,0.00004,0.000025,0.000033,0.000042,0.000048,0.000044,0.000021,0.000071,0.000063,0.000111,0.000046,0.000098,0.000563,0.000013,0.00003,0.000037,0.000056,0.00005,0.000028,0.000031,0.000028,0.000263,0.000233,0.000048,0.000016,0.000023,0.000012,0.000042,0.00178,0.002024,0.000034,0.000056,0.000216,0.000171,0.000027,1.403459,1.080228
水産業,0.000001,0.000015,0.000001,0.000004,1.012725,0,0,0,0.000015,0.2016,0,0.000225,0.00145,0.000012,0.001156,0.000001,0,0.000001,0.000001,0.000001,0,0,0.000023,0,0,0.000001,0.000075,0.000004,0,0,0,0.000003,0.000001,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001227,0,0,0.000001,0,0,0,0,0,0.000001,0,0,0.000001,0,0,0,0,0.000001,0.000001,0.000001,0.000001,0.000003,0.000006,0,0.000001,0.000003,0.000002,0.000001,0.000001,0.000002,0.000093,0.001047,0.000937,0.000002,0.000001,0.000001,0,0.000001,0.004031,0.006288,0.000001,0.000011,0.000326,0.000011,0.000003,1.231332,0.947744
金属鉱物,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76969
石炭・石油・ガス,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76969
非金属鉱物,0.000152,0.00005,0.000059,0.001728,0.000125,0,0,1.001656,0.000029,0.000045,0.000074,0.000024,0.000039,0.00004,0.000067,0.000026,0.000007,0.000355,0.000069,0.001947,0.000191,0.000067,0.003193,0.000642,0.001943,0.000067,0.000103,0.000094,0.032733,0.000026,0.000143,0.000035,0.026359,0.053055,0.045305,0,0,0.000039,0.000208,0.000156,0,0.000072,0.000082,0.000059,0.000072,0.000087,0.00008,0.000128,0.000378,0.00006,0.000035,0.000031,0.000087,0.000045,0.000028,0.000036,0.00003,0.000042,0.000394,0.000072,0.001888,0.001367,0.009991,0.000078,0.000191,0.000117,0.000102,0.000049,0.000046,0.000025,0.000052,0.000065,0.000073,0.000068,0.000152,0.000462,0.000199,0.000222,0.000093,0.000074,0.000103,0.000033,0.000035,0.000036,0.000043,0.000091,0.000048,0.000041,0.000024,0.000039,0.000036,0.000033,0.000024,0.000023,0.000026,0.000024,0.000028,0.000031,0.000049,0.000071,0.00009,0.000102,0.000242,1.189256,0.915359
食肉・畜産食料品,0.000005,0.000264,0.000009,0.000035,0.000013,0,0,0.000002,1.023026,0.000085,0.000003,0.011734,0.015174,0.005075,0.006611,0.000001,0.000266,0.000008,0.000003,0.00042,0.000028,0.000011,0.000002,0.000001,0.000001,0.000004,0.00113,0.001543,0.000002,0.000001,0.000001,0.003236,0.000001,0.000001,0.000015,0,0,0,0.000001,0,0,0,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000521,0.000001,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0,0.000001,0.000001,0.000003,0.000003,0.000006,0.000002,0.000008,0.000028,0.000001,0.000002,0.000006,0.000006,0.000018,0.000015,0.000004,0.000234,0.001981,0.00174,0.000008,0.000002,0.000003,0.000001,0.000002,0.009747,0.020669,0.000003,0.000009,0.000869,0.000018,0.000013,1.104667,0.850251
水産食料品,0.000001,0.000022,0.000001,0.000005,0.004857,0,0,0,0.000037,1.007141,0,0.000563,0.002254,0.000018,0.001739,0,0,0.000001,0,0.000002,0,0,0,0,0,0,0.000009,0.000007,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0.000002,0.000003,0,0,0.000001,0.000001,0.000002,0.000002,0.000001,0.000059,0.000785,0.000645,0.000001,0,0.000001,0,0,0.002453,0.004267,0,0.000002,0.000183,0,0.000002,1.025082,0.788996
精穀・製粉,0.000014,0.001137,0.000029,0.004274,0.000039,0,0,0.000003,0.000554,0.000203,1.000497,0.055341,0.031448,0.020776,0.023572,0.000003,0.000001,0.002009,0.000057,0.00007,0.000009,0.000003,0.000004,0.000004,0.000002,0.000007,0.000074,0.000103,0.000002,0.000001,0.000002,0.000011,0.000009,0.000003,0.000038,0,0,0.000001,0.000001,0.000001,0,0.000001,0.000002,0.000001,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000001,0.000002,0.000002,0.000001,0.000006,0.000003,0.000012,0.000002,0.000036,0.000011,0.000003,0.000001,0.000003,0.000005,0.000003,0.000003,0.000002,0.000003,0.000003,0.000003,0.000001,0.000002,0.000003,0.000004,0.000004,0.000008,0.000004,0.000012,0.000039,0.000001,0.000002,0.000008,0.000005,0.000006,0.000002,0.000007,0.000207,0.002652,0.002324,0.000614,0.000003,0.000005,0.000002,0.000004,0.009887,0.012042,0.000003,0.000011,0.000777,0.000003,0.000009,1.16908,0.899829
めん・パン・菓子類,0,0.000003,0.000001,0.000003,0.000002,0,0,0.000001,0.000004,0.000005,0,1.00608,0.000832,0.000007,0.000059,0,0,0.000001,0,0.000001,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000003,0.000003,0.000001,0,0,0,0.000001,0.000001,0.000001,0,0,0,0,0,0,0,0.000001,0,0.000001,0.000001,0.000001,0.000001,0,0.000001,0,0.000001,0,0,0.000001,0,0,0.000001,0,0.000001,0,0.000001,0.000001,0,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000002,0.000002,0.000004,0.000002,0.000004,0.000018,0,0.000001,0.000003,0.000001,0.000017,0,0.000002,0.000072,0.000666,0.000643,0.000281,0.000001,0.000002,0.000001,0.000001,0.002682,0.008053,0.000001,0.000004,0.000212,0,0.000007,1.019723,0.784871
その他の食料品,0.000047,0.003909,0.000095,0.002258,0.0004,0,0,0.000002,0.004577,0.005667,0.000049,0.037958,1.04948,0.008198,0.073806,0.000014,0.000002,0.000409,0.000016,0.00094,0.000071,0.000023,0.00005,0.000037,0.000003,0.000194,0.00232,0.003057,0.000004,0.000008,0.000004,0.000082,0.000011,0.000003,0.000963,0,0,0,0.000006,0.000001,0,0.000001,0.000002,0.000001,0.000002,0.000002,0.000003,0.000004,0.00001,0.000003,0.000003,0.000002,0.000002,0.000003,0.000002,0.000002,0.000003,0.000002,0.000008,0.000001,0.00001,0.000005,0.000002,0,0.000001,0.000002,0.000001,0.000002,0.000001,0.000001,0.000002,0.000002,0.000001,0.000001,0.000001,0.000003,0.000003,0.000005,0.000003,0.000011,0.000024,0.000001,0.000002,0.000006,0.00001,0.000045,0.000003,0.000013,0.000327,0.002744,0.002334,0.000015,0.000002,0.000004,0.000001,0.000003,0.009246,0.017068,0.000003,0.000004,0.000793,0.00003,0.000019,1.227473,0.944774
飲料・たばこ,0.000001,0.000004,0.000002,0.000004,0.000623,0,0,0.000001,0.00008,0.000146,0.000001,0.000062,0.000109,1.001269,0.000009,0,0,0.000002,0,0.000001,0.000001,0,0,0.000001,0.000001,0,0.000003,0.000001,0.000001,0,0.000001,0.000002,0.000001,0.000001,0.000001,0,0,0,0.000001,0,0,0,0,0,0.000001,0.000001,0.000001,0,0,0.000001,0.000001,0,0.000001,0.000001,0,0,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000001,0,0,0.000001,0,0.00001,0.000004,0.000001,0.000001,0.000002,0,0.000001,0.000001,0.000002,0.000001,0.000003,0.000001,0.000002,0.000013,0,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000025,0.000131,0.000142,0.000001,0.000001,0.000001,0.000001,0.000002,0.001294,0.003329,0.000001,0.000001,0.00008,0.000001,0.000065,1.007469,0.775439
飼料・有機質肥料（別掲を除く。）,0.000241,0.008505,0.000503,0.000006,0.000405,0,0,0,0.003453,0.000082,0.000102,0.000066,0.000142,0.000021,1.000234,0.00001,0.000002,0.000002,0.000001,0.000003,0.000002,0.000001,0.000012,0.000006,0.000006,0.000004,0.000021,0.000008,0,0.000002,0.000006,0.000026,0.000004,0.000002,0.000001,0,0,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000001,0.000002,0.000005,0.000005,0.000006,0.000006,0.000007,0.000006,0.000008,0.000003,0.000006,0.000006,0.000004,0.000001,0.000002,0.000005,0.000001,0,0,0.000001,0,0.000001,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0.000002,0.000002,0.000002,0,0.000015,0.000085,0.000002,0.000015,0.000012,0,0.000001,0.000001,0,0,0.000056,0.00011,0,0.000014,0.000006,0,0.000002,1.014291,0.78069
繊維工業製品,0.000028,0.00001,0.000029,0.000287,0.000992,0,0,0.000016,0.000007,0.000202,0.000014,0.000007,0.000009,0.000007,0.000009,1.006897,0.015952,0.000096,0.00047,0.000279,0.000332,0.000064,0.000094,0.000009,0.000013,0.00001,0.000011,0.00002,0.000006,0.000068,0.001996,0.001643,0.000359,0.000012,0.00011,0,0,0.000003,0.000008,0.000005,0,0.000021,0.000013,0.000028,0.00001,0.000131,0.000034,0.000198,0.000018,0.000012,0.000262,0.000014,0.000021,0.000023,0.000015,0.000085,0.000314,0.000078,0.00013,0.000014,0.000039,0.000161,0.000019,0.000005,0.00001,0.00002,0.000023,0.000032,0.000037,0.000013,0.000013,0.000011,0.000009,0.000034,0.000013,0.000018,0.000339,0.000024,0.000109,0.000048,0.000063,0.000015,0.000014,0.000026,0.000038,0.000028,0.000009,0.000016,0.000018,0.000024,0.000019,0.000051,0.000022,0.000016,0.00001,0.000046,0.000073,0.000014,0.000029,0.000164,0.000086,0.001146,0.000035,1.034436,0.796195
衣服・その他の繊維製品,0.000283,0.000095,0.000087,0.00012,0.000509,0,0,0.000315,0.000077,0.000168,0.000142,0.000117,0.000107,0.000061,0.000069,0.000111,1.000212,0.000203,0.000138,0.000152,0.000201,0.000046,0.000279,0.00005,0.000311,0.000163,0.000106,0.000086,0.000056,0.000034,0.00016,0.000128,0.000445,0.000126,0.000181,0,0,0.000031,0.000087,0.000032,0,0.000053,0.000097,0.000089,0.000124,0.000097,0.000102,0.000305,0.000275,0.000196,0.000503,0.000105,0.000196,0.000328,0.000135,0.000166,0.000124,0.000053,0.00024,0.000158,0.000214,0.000137,0.000121,0.000026,0.000042,0.000069,0.000263,0.000278,0.000299,0.000132,0.000053,0.000032,0.000015,0.00011,0.000119,0.000108,0.000409,0.00018,0.000079,0.000126,0.000206,0.000177,0.000079,0.000145,0.000135,0.00048,0.000033,0.000063,0.000149,0.000415,0.000214,0.001647,0.000209,0.000085,0.000083,0.000189,0.000686,0.000088,0.000409,0.000307,0.000387,0.00024,0.000172,1.018243,0.783732
木材・木製品,0.000097,0.000409,0.000122,0.002646,0.000549,0,0,0.000341,0.000225,0.000264,0.000059,0.000104,0.000138,0.000308,0.003297,0.000049,0.000053,1.057928,0.029603,0.020541,0.003013,0.000524,0.000216,0.000135,0.000121,0.00009,0.000109,0.000272,0.000082,0.000111,0.000105,0.001737,0.003452,0.000227,0.00152,0,0,0.000051,0.000117,0.000076,0,0.000298,0.000365,0.000257,0.000132,0.000116,0.000387,0.000098,0.000187,0.000168,0.000247,0.000096,0.000133,0.000115,0.000098,0.000071,0.002199,0.00092,0.004538,0.000055,0.018208,0.004611,0.000825,0.000229,0.000215,0.000278,0.000159,0.000434,0.000197,0.000122,0.000161,0.000205,0.000236,0.000218,0.000103,0.000356,0.000315,0.000557,0.000227,0.000485,0.002836,0.000062,0.000149,0.000181,0.000263,0.000242,0.000134,0.00015,0.000073,0.000161,0.000099,0.000232,0.000079,0.000109,0.000061,0.000209,0.00025,0.000373,0.000169,0.000275,0.000351,0.000791,0.000126,1.174686,0.904144
家具・装備品,0.000099,0.000091,0.00011,0.000359,0.000198,0,0,0.000523,0.000116,0.000149,0.00008,0.000139,0.000158,0.000155,0.000069,0.000129,0.000087,0.000252,1.005693,0.000549,0.000542,0.00019,0.00021,0.00057,0.000366,0.000404,0.000728,0.000379,0.00017,0.000293,0.000447,0.000243,0.000475,0.000405,0.000755,0,0,0.000104,0.000343,0.00015,0,0.000201,0.000208,0.000165,0.000229,0.000301,0.000307,0.000544,0.000482,0.000482,0.000614,0.00046,0.000492,0.000945,0.0008,0.000192,0.002568,0.000512,0.00102,0.000172,0.003373,0.005761,0.00015,0.000294,0.000499,0.000808,0.00184,0.00056,0.00045,0.000952,0.000406,0.000674,0.000384,0.000408,0.000259,0.000387,0.000883,0.00055,0.000388,0.001214,0.001466,0.000196,0.00114,0.000678,0.001286,0.000851,0.000734,0.000961,0.000605,0.002375,0.001006,0.00401,0.000541,0.000444,0.000138,0.000712,0.001156,0.000894,0.000392,0.001838,0.001098,0.000125,0.000398,1.069708,0.823343
パルプ・紙・板紙・加工紙,0.000401,0.000185,0.000885,0.000467,0.000123,0,0,0.000174,0.000262,0.000253,0.000268,0.000551,0.000411,0.000472,0.000164,0.000166,0.000211,0.001891,0.002571,1.066453,0.068832,0.023629,0.00023,0.000398,0.000238,0.000225,0.001198,0.000332,0.000082,0.000728,0.000978,0.000554,0.000493,0.000277,0.000565,0,0,0.000035,0.000101,0.000087,0,0.000257,0.000124,0.000292,0.000218,0.000301,0.00043,0.000524,0.00105,0.000804,0.000954,0.000319,0.000244,0.000754,0.000776,0.000168,0.000131,0.000217,0.001287,0.000196,0.000844,0.000573,0.000186,0.000098,0.000146,0.000253,0.000415,0.000381,0.00022,0.000681,0.000286,0.000165,0.000082,0.000198,0.000259,0.000262,0.000429,0.000476,0.001684,0.001502,0.001794,0.000338,0.000569,0.001044,0.007496,0.000516,0.000655,0.001398,0.000199,0.000691,0.000506,0.001268,0.000192,0.00116,0.000152,0.001206,0.000489,0.000185,0.000344,0.000455,0.000261,0.031263,0.00053,1.245789,0.958871
紙加工品,0.005014,0.001743,0.011146,0.001603,0.000282,0,0,0.000246,0.002087,0.001851,0.002292,0.003703,0.003237,0.005328,0.001352,0.000496,0.000312,0.000586,0.002346,0.000736,1.002027,0.000436,0.001163,0.000287,0.000268,0.00089,0.004917,0.001001,0.000118,0.000536,0.000502,0.003608,0.000594,0.00179,0.002369,0,0,0.000039,0.000115,0.000101,0,0.000104,0.000154,0.00087,0.000354,0.000306,0.001113,0.000378,0.000811,0.00113,0.002007,0.000321,0.000331,0.000477,0.000403,0.000134,0.000166,0.000288,0.001304,0.00042,0.000188,0.000606,0.000289,0.000056,0.0001,0.000183,0.000593,0.001825,0.001709,0.00066,0.000273,0.00015,0.00007,0.000264,0.000335,0.000416,0.000862,0.000675,0.000716,0.001672,0.002508,0.000433,0.000366,0.000397,0.000449,0.000462,0.000373,0.000778,0.00038,0.001804,0.001613,0.000868,0.000159,0.000263,0.00015,0.000689,0.000643,0.001067,0.000404,0.000305,0.000555,0.062416,0.000409,1.16533,0.896943
印刷・製版・製本,0.000481,0.000381,0.000631,0.001028,0.000583,0,0,0.001133,0.002476,0.001862,0.003159,0.006155,0.005333,0.001522,0.000784,0.000326,0.000688,0.001249,0.002228,0.00092,0.020957,1.025877,0.001192,0.002104,0.001543,0.001051,0.004518,0.002368,0.000499,0.000653,0.001216,0.000812,0.004014,0.000964,0.000823,0,0,0.000249,0.001165,0.000708,0,0.000844,0.00074,0.002081,0.001584,0.001734,0.005171,0.004164,0.00223,0.002472,0.009159,0.002655,0.001018,0.004701,0.003584,0.001696,0.001126,0.00235,0.003052,0.002109,0.0007,0.000937,0.000907,0.000872,0.002204,0.001533,0.003526,0.00297,0.004457,0.009898,0.001391,0.001014,0.000617,0.00158,0.001514,0.001292,0.00199,0.001553,0.003517,0.001583,0.004381,0.004956,0.005669,0.003875,0.011463,0.006221,0.004492,0.01375,0.001634,0.005286,0.001189,0.020672,0.001521,0.006556,0.000988,0.003572,0.00123,0.00105,0.001443,0.006888,0.002401,0.001805,0.002444,1.311666,1.009576
化学肥料,0.023204,0.000935,0.000282,0.000551,0.000006,0,0,0.000003,0.000387,0.000035,0.009762,0.000726,0.001113,0.000302,0.003475,0.000143,0.000012,0.00012,0.000007,0.000021,0.000009,0.000005,1.088078,0.00111,0.001448,0.010245,0.000576,0.003201,0.000006,0.000056,0.000361,0.000014,0.00001,0.000004,0.000186,0,0,0.000008,0.000003,0.000006,0,0.000002,0.000002,0.000002,0.000003,0.000008,0.000004,0.000004,0.000006,0.000005,0.000005,0.000002,0.000051,0.000003,0.000002,0.000002,0.000006,0.000003,0.000057,0.000002,0.000013,0.000005,0.000212,0.000009,0.000036,0.000003,0.000003,0.000002,0.000005,0.000002,0.000005,0.000005,0.000001,0.000004,0.000002,0.000002,0.000002,0.000004,0.000003,0.000011,0.000006,0.000001,0.000003,0.000009,0.000004,0.000005,0.000007,0.000004,0.00001,0.000101,0.000078,0.000032,0.000003,0.000005,0.000002,0.000003,0.000337,0.000406,0.000004,0.000098,0.0004,0.000003,0.000176,1.148604,0.884069
無機化学工業製品,0.000161,0.000036,0.000039,0.000036,0.000034,0,0,0.000015,0.000098,0.00007,0.000069,0.000317,0.000112,0.000116,0.000062,0.000356,0.000016,0.000029,0.000033,0.000839,0.000254,0.000026,0.004718,1.008776,0.013568,0.000868,0.001637,0.00354,0.000024,0.000256,0.001151,0.000039,0.001061,0.000038,0.000189,0,0,0.000059,0.000061,0.000073,0,0.000019,0.000398,0.000061,0.00006,0.000063,0.000054,0.000454,0.000157,0.000076,0.000087,0.00018,0.000138,0.00028,0.000112,0.000024,0.000112,0.000033,0.000109,0.000034,0.000015,0.000027,0.000051,0.000004,0.00001,0.000542,0.000648,0.000006,0.000007,0.000005,0.000005,0.000005,0.000002,0.000017,0.000009,0.000017,0.000008,0.00001,0.000009,0.000053,0.000032,0.000003,0.000013,0.000011,0.000014,0.000042,0.000012,0.000218,0.000039,0.000028,0.000025,0.000006,0.000006,0.000009,0.000027,0.000005,0.000041,0.000033,0.00012,0.000013,0.000017,0.000041,0.00013,1.043567,0.803223
有機化学工業製品,0.000007,0.000001,0.000002,0.000003,0.000001,0,0,0.000002,0.000019,0.00001,0.000003,0.000027,0.000015,0.000021,0.000011,0.000098,0.000004,0.00002,0.000014,0.00022,0.000032,0.000015,0.000237,0.00003,1.00193,0.005533,0.000543,0.00193,0.000014,0.000285,0.000829,0.000005,0.000191,0.000004,0.000043,0,0,0,0.000001,0.000006,0,0.000008,0.000002,0.000002,0.000005,0.000004,0.000011,0.000044,0.000017,0.000023,0.000058,0.000011,0.000008,0.000011,0.000007,0.000005,0.000005,0.000002,0.000007,0.000001,0.000002,0.000003,0.000001,0.000001,0.000003,0.000002,0.000001,0.000001,0.000001,0.000001,0,0.000001,0,0.000001,0.000001,0.000002,0.000001,0.000002,0.000001,0.000002,0.000005,0,0.000001,0.000001,0.000003,0.000001,0.000004,0.000047,0.000005,0.000001,0.000001,0.000001,0.000001,0.000001,0.000004,0.000001,0.000001,0.000001,0.000007,0.000001,0.000002,0.00001,0.000013,1.012474,0.779291
