部門名,従業者数,就業係数,雇用係数
米,42993,0.470280026,0.030223146
耕種農業（米を除く）,17131,0.471577614,0.031877116
畜産,3971,0.054383851,0.003574461
農業サービス,1343,0.067473875,0.057978296
林業,1347,0.091266346,0.07202385
漁業,7699,0.134311434,0.022888245
金属鉱物,0,0,0
石炭・原油・天然ガス,0,0,0
非金属鉱物,427,0.016539489,0.016345819
食肉・畜産食料品,3748,0.037340347,0.036742583
水産食料品,8556,0.062283435,0.061278863
精穀・製粉,371,0.003561349,0.003503753
その他の食料品,18905,0.094475873,0.093101587
飲料,2589,0.025304702,0.025177641
飼料・有機質肥料（別掲を除く。）,346,0.007518307,0.007496578
たばこ,0,0,0
繊維工業製品,1651,3.821759259,3.717592593
衣服・その他の繊維既製品,2630,0.135031062,0.131334394
木材・木製品,3971,0.083225049,0.079683112
家具・装備品,911,0.063010098,0.050214414
パルプ・紙・板紙・加工紙,1513,0.009236254,0.009175208
紙加工品,3541,0.147979439,0.147018262
印刷・製版・製本,10464,0.107413414,0.104806093
化学肥料,127,0.030368245,0.030368245
無機化学工業製品,337,0.052987421,0.052987421
石油化学基礎製品,15,0.002272383,0.002272383
有機化学工業製品（石油化学基礎製品を除く。）,43,0.044057377,0.044057377
合成樹脂・化学繊維,12,0.009508716,0.009508716
化学最終製品,602,0.01106028,0.01106028
石油製品,346,0.000666165,0.000666165
石炭製品,216,0.012541369,0.012541369
プラスチック製品,5844,0.102384415,0.101368279
ゴム製品,2748,0.032954382,0.032834461
なめし革・毛皮・同製品,118,0.13931523,0.131050767
ガラス・ガラス製品,183,0.018684909,0.018582806
セメント・セメント製品,1381,0.023825133,0.023618108
陶磁器,232,0.044418916,0.044035995
その他の窯業・土石製品,365,0.02931256,0.028991327
銑鉄・粗鋼,70,0.001510965,0.001510965
鋼材,916,0.014288834,0.014288834
鋳鍛造品,791,0.032013923,0.031771086
その他の鉄鋼製品,621,0.029567205,0.029233919
非鉄金属製錬・精製,34,0.007949497,0.007949497
非鉄金属加工製品,1655,0.023866176,0.023794073
建設・建築用金属製品,5481,0.061236802,0.060991006
その他の金属製品,3392,0.084294235,0.083946322
はん用機械,1887,0.129308573,0.12745837
生産用機械,6053,0.044008696,0.043405239
業務用機械,4469,0.045352602,0.045210526
電子デバイス,1420,0.025586508,0.025586508
その他の電子部品,14206,0.043767465,0.043712008
産業用電気機器,3220,0.037628252,0.037371164
民生用電気機器,29,0.023809524,0.023809524
電子応用装置・電気計測器,566,0.036851358,0.036590924
その他の電気機械,1336,0.030222142,0.03001855
通信機械・同関連機器,2960,0.03266279,0.032585547
電子計算機・同附属装置,254,0.02800441,0.02800441
自動車（二輪自動車を含む）,1358,0.011350434,0.011350434
自動車部品・同附属品,5920,0.022934714,0.022787497
船舶・同修理,116,0.030192608,0.030192608
その他の輸送機械・同修理,419,0.035127431,0.035043595
その他の製造工業製品,3716,0.082361807,0.073318853
再生資源回収・加工処理,577,0.070537897,0.049266504
建築,49456,0.060237266,0.056857324
建設補修,15006,0.088542988,0.086412906
公共事業,19987,0.034350719,0.034092921
その他の土木建設,14048,0.044246505,0.04259923
電力,4697,0.038743257,0.038743257
ガス・熱供給,426,0.011373041,0.011373041
水道,2110,0.021663244,0.021663244
廃棄物処理,9522,0.083886143,0.083287082
卸売,82235,0.069441747,0.068560161
小売,152959,0.210189936,0.196141912
金融・保険,33561,0.067185827,0.066671338
不動産仲介及び賃貸,7651,0.034401824,0.027720199
住宅賃貸料,9262,0.045690888,0.036821074
住宅賃貸料（帰属家賃）,0,0,0
鉄道輸送,5703,0.093824033,0.093824033
道路輸送（自家輸送を除く。）,48787,0.147087022,0.145088155
自家輸送,0,0,0
水運,1330,0.035205675,0.034676267
航空輸送,397,0.014664056,0.014664056
貨物利用運送,209,0.075017947,0.073941134
倉庫,2661,0.079444693,0.079444693
運輸附帯サービス,6791,0.066576473,0.066360793
郵便・信書便,5000,0.402446877,0.402446877
通信,7036,0.022932236,0.022886607
放送,934,0.017434155,0.017434155
情報サービス,14891,0.09391753,0.093885995
インターネット附随サービス,1035,0.198923698,0.198731501
映像・音声・文字情報制作,2667,0.060402229,0.059836028
公務,42693,0.042603022,0.042603022
教育,45549,0.097145916,0.097022215
研究,3278,0.022772587,0.02271701
医療,55234,0.079525216,0.075154021
保健衛生,3425,0.115510438,0.115409261
社会保険・社会福祉,16388,0.138221874,0.138221874
介護,34713,0.214595697,0.214595697
その他の非営利団体サービス,8947,0.098644969,0.098490612
物品賃貸サービス,7028,0.0325116,0.032308055
広告,1792,0.025527793,0.025385339
自動車整備・機械修理,13139,0.046234455,0.04216664
その他の対事業所サービス,70073,0.136994309,0.136730381
宿泊業,10193,0.099356662,0.096217955
飲食サービス,76991,0.161920645,0.144658308
洗濯・理容・美容・浴場業,21319,0.219812965,0.151772918
娯楽サービス,10527,0.085646641,0.084361169
その他の対個人サービス,16923,0.15574125,0.146253025
事務用品,0,0,0
分類不明,267,0.003521359,0.003494982
産業平均,,0.103062554,0.090335492