部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
電力,0.005715,0.011215,0.038094,0.008066,0.003388,0,0,0.023282,0.00397,0.010097,0.003528,0.00846,0.014939,0.011362,0.007399,0.010838,0.004404,0.020172,0.008483,0.113216,0.017261,0.01318,0.039708,0.314852,0.036821,0.010408,0.005658,0.014089,0.018863,0.014383,0.018237,0.006843,0.018198,0.090963,0.033025,0,0,0.020796,0.075514,0.077989,0,0.018826,0.010246,0.020688,0.01197,0.010921,0.011262,0.031465,0.024022,0.008804,0.00844,0.004465,0.012844,0.005642,0.006455,0.006635,0.014996,0.010667,0.008138,0.03502,0.003691,0.002087,0.003606,0.090045,0.028307,0.033566,0.085657,0.004205,0.031992,0.00407,0.030098,0.005906,0,0.035607,0.005802,0.00121,0.001638,0.002468,0.004506,0.06722,0.015506,0.008211,0.011883,0.006165,0.00383,0.009842,0.024058,0.005715,0.00613,0.017435,0.00989,0.002787,0.004537,0.000953,0.003361,0.007206,0.028968,0.013829,0.022076,0.029493,0.02477,0,0.011008
ガス・熱供給,0,0,0.000195,0,0.000004,0,0,0.000033,0.000272,0.000245,0.000027,0.001511,0.001635,0.001143,0.001073,0.002255,0.00026,0.000079,0.000333,0.001817,0.001133,0.000368,0.00675,0.002454,0.001428,0.000182,0.001222,0.001147,0.00012,0.002411,0.001469,0.000355,0.000756,0.000236,0.00187,0,0,0.001458,0.005128,0.000292,0,0.00132,0.001125,0.001753,0.000939,0.000779,0.001098,0.00265,0.0012,0.000846,0.000091,0.000336,0.001936,0.000403,0.000496,0.001084,0.000633,0.001548,0.001111,0.001342,0.00037,0.000506,0.000291,0.015223,0.015567,0.000416,0.002699,0.000542,0.003944,0.000661,0.001761,0.000145,0,0.000436,0.000433,0.000091,0.000787,0.000306,0.000518,0.000111,0.000641,0.000617,0.000803,0.000843,0.000343,0.002443,0.001618,0.000848,0.000854,0.002643,0.002155,0.000775,0.000052,0.000125,0.001181,0.000844,0.00965,0.005917,0.002845,0.000897,0.002178,0,0.000173
水道,0.000133,0.002474,0.002665,0.000743,0.000165,0,0,0.004503,0.001221,0.002959,0.000489,0.001544,0.002769,0.003757,0.000168,0.001276,0.000239,0.000877,0.000657,0.008424,0.001967,0.00074,0.006929,0.004092,0.009553,0.0027,0.004007,0.002095,0.000684,0.00175,0.001223,0.002508,0.002175,0.002933,0.001079,0,0,0.002474,0.000717,0.002469,0,0.001301,0.000933,0.001096,0.001198,0.000874,0.000632,0.001666,0.001689,0.000637,0.000896,0.000422,0.002015,0.000538,0.000523,0.00043,0.0012,0.000798,0.001009,0.004603,0.000857,0.001358,0.000738,0.000415,0.006552,0.056387,0.019958,0.001478,0.005106,0.001803,0.003442,0.000354,0,0.005345,0.00177,0.011058,0.001408,0.000186,0.001454,0.002518,0.008314,0.001003,0.00449,0.000543,0.000845,0.00535,0.011188,0.005701,0.004217,0.006956,0.008722,0.002783,0.000428,0.000047,0.00096,0.00125,0.013072,0.010521,0.016583,0.005903,0.005269,0,0.003681
廃棄物処理,0,0.000532,0.001197,0,0.000005,0,0,0.000801,0.000413,0.000019,0.000004,0.001035,0.000191,0.00014,0.001109,0.000013,0.000035,0.000313,0.000142,0.000709,0.000515,0.000388,0.003056,0.007055,0.000114,0.000072,0.002181,0.000413,0.000008,0.000025,0.000086,0.000104,0.001188,0.001685,0.004736,0,0,0.000008,0.000025,0,0,0.00003,0.000075,0.000046,0.000194,0.000016,0.000069,0.000514,0.000333,0.000164,0.000004,0.000071,0.001323,0.000046,0.000161,0.000022,0.000736,0.004569,0.000026,0,0.000215,0.000005,0.003064,0.000854,0.000647,0.000803,0,0.001066,0.001227,0.002038,0.000099,0,0,0.011812,0.00167,0,0.001708,0.000371,0.003066,0.001194,0.007005,0.001099,0.004043,0.007006,0.00051,0.032746,0.003597,0.001564,0.001981,0.00271,0.002653,0.000024,0.000256,0.000018,0.000504,0.000152,0.029425,0.009351,0.007398,0.006577,0.009485,0,0.003748
卸売,0.028126,0.021944,0.0286,0.026859,0.033463,0,0,0.02516,0.028433,0.124879,0.046566,0.055935,0.073871,0.033488,0.048882,0.035939,0.021765,0.096675,0.07647,0.099448,0.153173,0.07835,0.034641,0.016636,0.117627,0.045556,0.04478,0.089468,0.045707,0.05828,0.07512,0.103525,0.047589,0.038639,0.042054,0,0,0.011677,0.058136,0.014392,0,0.055715,0.08331,0.057051,0.060311,0.05412,0.065514,0.047824,0.040926,0.069152,0.078385,0.043035,0.063165,0.055285,0.03878,0.034426,0.085434,0.058291,0.05874,0.004569,0.058024,0.074301,0.046975,0.002208,0.013221,0.01359,0.021625,0.027505,0.008789,0.005216,0.00174,0.001807,0.000369,0.001991,0.008257,0.034102,0.018417,0.00364,0.006658,0.009809,0.011807,0.003766,0.003854,0.003442,0.024509,0.008209,0.006045,0.018526,0.0517,0.024878,0.0163,0.026851,0.006571,0.001434,0.052959,0.008746,0.045838,0.066045,0.01851,0.013798,0.018157,0.223862,0.014943
小売,0.022918,0.013801,0.00839,0.014244,0.008272,0,0,0.012526,0.000468,0.001324,0.000358,0.001476,0.004338,0.001864,0.000894,0.001102,0.004521,0.003136,0.006462,0.001708,0.002106,0.001275,0.002447,0.001851,0.00671,0.001624,0.001545,0.001285,0.001319,0.000533,0.003471,0.027437,0.002804,0.002794,0.002589,0,0,0.000709,0.002005,0.001332,0,0.001259,0.001712,0.001694,0.002605,0.004432,0.004765,0.001705,0.002382,0.002761,0.00201,0.002113,0.002713,0.003163,0.003846,0.001975,0.004637,0.002372,0.037442,0.002526,0.003596,0.004492,0.005005,0.000293,0.000648,0.001702,0.009308,0.005581,0.004745,0.002449,0.002162,0.002257,0.000305,0.001577,0.007308,0.061054,0.00358,0.000997,0.005483,0.00281,0.002095,0.006407,0.001933,0.002627,0.005783,0.007845,0.005344,0.010642,0.002492,0.011408,0.006368,0.017522,0.006043,0.00044,0.003056,0.005996,0.023561,0.036141,0.011776,0.008922,0.015309,0.056624,0.000699
金融・保険,0.006977,0.00428,0.008469,0.029202,0.009218,0,0,0.050562,0.002413,0.00331,0.001078,0.004019,0.005127,0.007192,0.003362,0.007689,0.005055,0.013275,0.013598,0.01175,0.013251,0.009058,0.010249,0.012554,0.005901,0.005087,0.007184,0.007383,0.002547,0.002363,0.005313,0.007489,0.010038,0.012191,0.015017,0,0,0.002955,0.007133,0.006515,0,0.005263,0.015579,0.008796,0.00765,0.009211,0.011912,0.00805,0.006227,0.005827,0.007112,0.007597,0.01462,0.008049,0.009944,0.005243,0.012798,0.012236,0.017146,0.003155,0.012125,0.007827,0.021837,0.0134,0.006884,0.002998,0.011288,0.02409,0.015538,0.049951,0.097796,0.078397,0.073131,0.049718,0.017314,0.034554,0.03925,0.008563,0.031705,0.007581,0.017122,0.002247,0.008975,0.004886,0.005481,0.050032,0.001115,0.005678,0.006319,0.00584,0.008554,0.072462,0.0587,0.001019,0.007903,0.005057,0.02057,0.005874,0.003069,0.011463,0.00667,0,0.005778
不動産仲介及び賃借,0.000258,0,0.00615,0.001114,0.000484,0,0,0.003532,0.002287,0.000983,0.000355,0.001941,0.001203,0.001513,0.000274,0.000999,0.001252,0.00148,0.00286,0.002441,0.002489,0.003087,0.000803,0.002882,0.003285,0.001295,0.002606,0.00116,0.001168,0.001683,0.002305,0.001592,0.00124,0.002849,0.001339,0,0,0.000776,0.001889,0.000281,0,0.000751,0.005621,0.001694,0.002774,0.002566,0.001975,0.001205,0.00102,0.001969,0.003021,0.001684,0.003549,0.002044,0.001671,0.000742,0.003038,0.001426,0.001583,0.000118,0.003909,0.001842,0.001184,0.003321,0.007414,0.000676,0.003049,0.022838,0.011637,0.010166,0.024264,0.04502,0.000764,0.001245,0.008098,0.008651,0.039241,0.002469,0.06807,0.051972,0.021212,0.011613,0.006709,0.005485,0.025069,0.000862,0.000959,0.012863,0.013397,0.003085,0.005274,0.011535,0.006872,0.000614,0.001994,0.006449,0.007663,0.006465,0.01684,0.004754,0.019191,0,0.024685
住宅賃貸料,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
住宅賃貸料（帰属家賃）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鉄道輸送,0.00014,0.000132,0.000152,0.000504,0.000491,0,0,0.001563,0.000238,0.000047,0.001865,0.000603,0.000283,0.000482,0.000227,0.000877,0.000372,0.000544,0.000513,0.000899,0.001975,0.001768,0.000383,0.000477,0.001188,0.001087,0.001761,0.000987,0.00046,0.000931,0.00113,0.000221,0.000733,0.000846,0.004439,0,0,0.000178,0.000359,0.000368,0,0.000439,0.002261,0.000344,0.001135,0.001237,0.00213,0.001089,0.001279,0.000762,0.000949,0.002597,0.000518,0.003883,0.001567,0.00026,0.000422,0.000761,0.000499,0.001771,0.000484,0.00067,0.00061,0.000094,0.000244,0.000423,0.005854,0.003331,0.0009,0.004412,0.00015,0.000064,0.000001,0.000839,0.001585,0.000297,0.00108,0.000407,0.007646,0.00069,0.000438,0.001568,0.000869,0.001745,0.000666,0.002786,0.002042,0.001487,0.000756,0.00047,0.000506,0.001956,0.000743,0.000543,0.000356,0.000578,0.000512,0.000855,0.000594,0.00066,0.001042,0.000612,0.001769
道路輸送（自家輸送を除く。）,0.00599,0.035966,0.005611,0.023712,0.005953,0,0,0.010412,0.005218,0.012987,0.044676,0.013842,0.0115,0.007338,0.016885,0.003632,0.00215,0.019627,0.0143,0.018106,0.025953,0.010981,0.009661,0.003362,0.015618,0.010088,0.00852,0.015207,0.041534,0.006671,0.009706,0.01633,0.011455,0.028234,0.026142,0,0,0.001947,0.024416,0.004621,0,0.007579,0.0155,0.009236,0.009842,0.008955,0.010341,0.008811,0.007942,0.009264,0.00964,0.006365,0.00789,0.007603,0.009253,0.011615,0.012582,0.009481,0.009841,0.370312,0.013393,0.015454,0.016771,0.001198,0.013604,0.003663,0.02928,0.005115,0.00324,0.008208,0.000733,0.000651,0.000038,0.000765,0.00327,0.00316,0.004181,0.002266,0.002821,0.002501,0.00397,0.067169,0.004418,0.004076,0.006862,0.008787,0.002948,0.005684,0.006012,0.004479,0.002547,0.009992,0.002439,0.000493,0.007095,0.00286,0.006369,0.010489,0.002325,0.002863,0.014716,0.034138,0.039615
自家輸送,0.02981,0.01002,0.009681,0.069041,0.01679,0,0,0.233632,0.002711,0.008942,0.003508,0.006217,0.00406,0.005041,0.002646,0.005216,0.001551,0.018644,0.004684,0.004405,0.00475,0.006306,0.002583,0.003318,0.003551,0.004185,0.002117,0.000179,0.000226,0.000927,0.001428,0.014541,0.004685,0.026506,0.004334,0,0,0.002852,0.003187,0.001754,0,0.003281,0.011139,0.006657,0.00511,0.004888,0.00833,0.004334,0.000571,0.002652,0.003469,0.003377,0.003894,0.0001,0.003404,0.001096,0.000812,0.000469,0.012954,0.009931,0.013881,0.016412,0.01617,0.001983,0.003461,0.003531,0.025689,0.040015,0.027899,0.006426,0.004292,0.003692,0.000618,0.002067,0.001605,0,0.006066,0.001006,0.003199,0.00255,0.004655,0.008372,0.005671,0.006943,0.013203,0.010275,0.007835,0.004333,0.003565,0.006069,0.006576,0.008842,0.009042,0.002043,0.003327,0.006223,0.020282,0.001343,0.009011,0.019076,0.019937,0,0.011275
水運,0.001327,0.003528,0.000464,0.0007,0.001294,0,0,0.001047,0.000327,0.000403,0.002184,0.00032,0.000554,0.000351,0.002337,0.000321,0.000098,0.002615,0.00085,0.001995,0.001411,0.000552,0.001591,0.000626,0.001971,0.001344,0.000601,0.001475,0.002041,0.000261,0.000633,0.000749,0.001115,0.006386,0.005692,0,0,0.000361,0.004262,0.007106,0,0.00041,0.002211,0.001289,0.001075,0.000942,0.000564,0.000513,0.000489,0.000748,0.000738,0.000352,0.000614,0.000456,0.000394,0.00152,0.001412,0.001201,0.000449,0.069039,0.000561,0.000534,0.001197,0.000613,0.002428,0.000297,0.00074,0.000276,0.000211,0.000317,0.000104,0.000118,0.000015,0.0001,0.002323,0.003988,0.101237,0.001062,0.000178,0.000148,0.000185,0.001932,0.000115,0.00013,0.000421,0.000213,0.000257,0.000238,0.000158,0.000204,0.000198,0.000382,0.000139,0.000121,0.000684,0.000201,0.000399,0.000329,0.000219,0.000377,0.000433,0.001695,0.000682
航空輸送,0.000003,0.000002,0.00077,0.001201,0.000228,0,0,0.001962,0.00014,0.000014,0.000013,0.000156,0.000085,0.000183,0.000097,0.000431,0.00065,0.000388,0.000946,0.000351,0.000901,0.001097,0.00019,0.000222,0.000872,0.000303,0.003315,0.000507,0.000195,0.000502,0.000916,0.000108,0.000518,0.000697,0.000509,0,0,0.000141,0.000275,0.000123,0,0.000168,0.001948,0.000592,0.00123,0.001547,0.001075,0.00043,0.000477,0.000771,0.001176,0.002843,0.000823,0.000721,0.000586,0.000243,0.000259,0.00046,0.000359,0.000001,0.00005,0.000244,0.000147,0.000433,0.000151,0.000342,0.004855,0.005249,0.000844,0.000909,0.000111,0.00006,0,0.000036,0.000351,0.000001,0.0004,0.003508,0.002656,0.000266,0.000225,0.015351,0.001089,0.004445,0.005492,0.000519,0.002119,0.001701,0.00052,0.000099,0.000205,0.002541,0.001103,0.001111,0.000231,0.002012,0.000562,0.000241,0.000698,0.001343,0.001039,0.000044,0.004899
貨物利用運送,0.000325,0.001596,0.000261,0.000284,0.000412,0,0,0.000248,0.000457,0.001087,0.002038,0.000591,0.000559,0.000319,0.000777,0.000214,0.000148,0.000747,0.000498,0.000949,0.001412,0.000701,0.000575,0.000166,0.000885,0.000506,0.000304,0.000763,0.001726,0.00025,0.000349,0.00058,0.000536,0.001612,0.001596,0,0,0.000075,0.001024,0.000221,0,0.000293,0.000514,0.00035,0.000367,0.00031,0.00036,0.000281,0.000277,0.000333,0.000376,0.000259,0.000311,0.000309,0.000241,0.000486,0.000469,0.000394,0.00032,0.000806,0.000438,0.00051,0.000524,0.000064,0.00073,0.000095,0.000144,0.000058,0.000082,0.000053,0.000026,0.000041,0.000002,0.002293,0.000494,0.00034,0.000277,0.000346,0.001845,0.000071,0.000114,0.005082,0.000038,0.000031,0.000261,0.000078,0.000071,0.000156,0.000277,0.000178,0.000117,0.000182,0.000042,0.000404,0.000311,0.000078,0.000292,0.000482,0.000089,0.000092,0.000109,0.001565,0.001563
倉庫,0.001167,0.005415,0.001181,0.001247,0.001672,0,0,0.000546,0.000717,0.004626,0.012735,0.001612,0.003203,0.00127,0.014869,0.000774,0.000428,0.002439,0.001705,0.003865,0.004342,0.002052,0.004544,0.000589,0.002502,0.001202,0.00109,0.002193,0.004521,0.001465,0.001438,0.002273,0.003317,0.004421,0.007352,0,0,0.00042,0.003641,0.003061,0,0.003397,0.00193,0.00181,0.001562,0.001363,0.001937,0.00133,0.001222,0.002019,0.001841,0.001535,0.002657,0.001721,0.00147,0.001382,0.001762,0.001406,0.001373,0.033868,0.001086,0.001209,0.001511,0.000724,0.011338,0.000315,0.000305,0.00023,0.000382,0.000284,0.00015,0.00029,0.000005,0.000241,0.000227,0.000768,0.000347,0.000729,0.000319,0.000387,0.000548,0.000182,0.000284,0.000584,0.001147,0.000709,0.000362,0.000741,0.000528,0.000642,0.000375,0.00069,0.00014,0.000069,0.000873,0.000287,0.001011,0.001751,0.000233,0.000299,0.000295,0.003907,0.000336
運輸附帯サービス,0.000012,0,0.000036,0,0.001784,0,0,0.000504,0.000451,0.000041,0.000027,0.000584,0.000137,0.000881,0.000678,0.000127,0.000073,0.000749,0.001212,0.003957,0.00016,0.001324,0.002923,0.000527,0.00067,0.002078,0.000859,0.000402,0.000004,0.001471,0.001899,0.001001,0.011004,0.000484,0.000666,0,0,0.001304,0.00027,0.000007,0,0.000245,0.000069,0.000436,0.000563,0.000503,0.000635,0.00055,0.000544,0.006376,0.00023,0.002096,0.002285,0.000319,0.002016,0.000427,0.000665,0.000403,0.001386,0.000359,0,0,0.000019,0,0,0,0,0.007636,0.000585,0.000006,0,0,0,0.013606,0.029682,0.102485,0.06468,0.243214,0.04696,0.011641,0.003539,0,0,0,0.000301,0.000049,0.000001,0.000025,0,0,0,0,0.002142,0,0.000001,0,0.027838,0.002258,0,0.000886,0,0,0.009807
郵便・信書便,0.00012,0.000237,0.000254,0.001904,0.000485,0,0,0.000796,0.000152,0.000112,0.000006,0.000487,0.000087,0.000256,0.000097,0.000144,0.001001,0.000312,0.000712,0.000352,0.000593,0.000368,0.000632,0.000265,0.000531,0.000416,0.001661,0.000257,0.000425,0.000573,0.000276,0.000471,0.00016,0.000373,0.000333,0,0,0.000056,0.000186,0.000314,0,0.000257,0.001137,0.000646,0.000383,0.000468,0.000335,0.000102,0.000168,0.000287,0.000194,0.001336,0.000187,0.000326,0.000177,0.000081,0.000303,0.000151,0.000526,0.001221,0.000466,0.001301,0.000804,0.000574,0.003016,0.001883,0.001337,0.00208,0.002428,0.010704,0.000405,0.001278,0,0.0016,0.000753,0,0.001865,0.001148,0.002529,0.001527,0.001044,0,0.01188,0.004493,0.002377,0.007322,0.002413,0.008678,0.000881,0.008,0.000908,0.010175,0.001227,0.000672,0.001125,0.001587,0.00171,0.0021,0.001431,0.001328,0.003381,0,0.000548
通信,0.000221,0.000227,0.001505,0.002597,0.003105,0,0,0.002069,0.000433,0.001662,0.000113,0.000974,0.000914,0.000638,0.00024,0.000621,0.000631,0.001273,0.001641,0.000748,0.001623,0.00151,0.002403,0.000638,0.001036,0.00085,0.015182,0.000872,0.001569,0.000944,0.001237,0.001067,0.000518,0.001008,0.001049,0,0,0.000173,0.000597,0.000925,0,0.000551,0.003751,0.000994,0.001754,0.001873,0.001298,0.000609,0.00077,0.001156,0.001027,0.005775,0.000822,0.001483,0.000805,0.000317,0.000945,0.000645,0.000869,0.000276,0.000585,0.014002,0.00521,0.00017,0.000646,0.004532,0.005979,0.016712,0.012699,0.011936,0.003718,0.005064,0,0.004011,0.003833,0,0.040177,0.002563,0.005052,0.003133,0.004173,0.011,0.166812,0.038229,0.024411,0.006962,0.001007,0.015191,0.002118,0.010076,0.000988,0.015743,0.002189,0.002169,0.002949,0.005196,0.005221,0.007311,0.005037,0.002695,0.003516,0,0.033704
放送,0.000054,0.00002,0.00001,0.000023,0.000003,0,0,0.000039,0.000006,0.000005,0.000002,0.000024,0.000014,0.000009,0.000007,0.000009,0.000005,0.00001,0.000009,0.000003,0.000032,0.000024,0.000017,0.000002,0.000013,0.000009,0.000004,0.000002,0.000016,0.000001,0.000027,0.000021,0.000021,0.00002,0.000003,0,0,0.000018,0.000002,0.000015,0,0.000013,0.000024,0.000001,0.000015,0.00002,0.000008,0.000005,0.000001,0.000029,0.000041,0.000002,0.000029,0.000009,0.000011,0.000011,0.000037,0.000014,0.000013,0.000051,0.000062,0.000073,0.000069,0.000002,0.000004,0.000008,0.000284,0.000137,0.000451,0.000264,0.000126,0.000091,0,0.000092,0.000033,0,0.00015,0.000021,0.000035,0.000035,0.000373,0.000061,0.000056,0.035069,0.000351,0.000009,0.000088,0.000007,0.000088,0.000181,0.000216,0.000335,0.000141,0.422397,0.000147,0.000081,0.001032,0.005952,0.005147,0.002507,0.000088,0,0.000049
情報サービス,0.001244,0.002147,0.005056,0.003938,0.003028,0,0,0.002797,0.001592,0.002406,0.000628,0.004691,0.002684,0.004055,0.003282,0.001545,0.0013,0.004014,0.006939,0.004887,0.004851,0.004913,0.010392,0.005274,0.00882,0.00644,0.016684,0.006061,0.002608,0.003077,0.008698,0.007113,0.005607,0.004052,0.009414,0,0,0.000969,0.004108,0.00403,0,0.003273,0.005163,0.005069,0.006893,0.011057,0.005318,0.007863,0.008978,0.014571,0.001811,0.01387,0.01246,0.014624,0.032765,0.002318,0.005298,0.004154,0.004015,0.001385,0.002911,0.002824,0.004078,0.006586,0.005334,0.027361,0.008233,0.01756,0.022167,0.045263,0.012235,0.003253,0,0.002849,0.007565,0,0.006228,0.0064,0.010297,0.016015,0.025751,0.012616,0.048067,0.233462,0.064114,0.024871,0.010133,0.031585,0.008822,0.01885,0.00288,0.048413,0.012412,0.186351,0.002743,0.019729,0.013245,0.003938,0.004789,0.020835,0.009746,0,0.007009
公務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235975
