部門名,自足率
農業,0.78526933
林業,0.861565698
漁業(水産養殖業を除く),0.875878778
水産養殖業,0.875878778
鉱業，採石業，砂利採取業,0.569455103
総合工事業,1
職別工事業(設備工事業を除く),1
設備工事業,1
食料品製造業,0.864466801
飲料・たばこ・飼料製造業,0.852453836
繊維工業,0.760532978
木材・木製品製造業(家具を除く),0.668589845
家具・装備品製造業,0.812568072
パルプ・紙・紙加工品製造業,0.970937625
印刷・同関連業,0.997303405
化学工業,0.966491994
石油製品・石炭製品製造業,0.892953264
プラスチック製品製造業(別掲を除く),1.054326335
ゴム製品製造業,1.084859206
なめし革・同製品・毛皮製造業,0.309354272
窯業・土石製品製造業,1.042117501
鉄鋼業,1.032186131
非鉄金属製造業,0.890484507
金属製品製造業,0.997167621
はん用機械器具製造業,1.274515812
生産用機械器具製造業,1.496877007
業務用機械器具製造業,0.989507507
電子部品・デバイス・電子回路製造業,1.213849974
電気機械器具製造業,1.151547916
情報通信機械器具製造業,0.771237942
輸送用機械器具製造業,1.391250374
その他の製造業,0.73607066
電気業,1.001429253
ガス業,1.000185655
熱供給業,1.000185655
水道業,1.001730451
通信業,0.999071978
放送業,1.000009268
情報サービス業,0.982399101
インターネット附随サービス業,1.00091515
映像・音声・文字情報制作業,0.982674112
鉄道業,1.003416478
道路旅客運送業,1.058130404
道路貨物運送業,1.058997083
水運業,1.384989472
航空運輸業,0.790664792
倉庫業,1.064559254
運輸に附帯するサービス業,1.13204143
郵便業(信書便事業を含む),0.998307543
各種商品卸売業,1.075845675
繊維・衣服等卸売業,1.075845675
飲食料品卸売業,1.075845675
建築材料，鉱物・金属材料等卸売業,1.129881082
機械器具卸売業,1.075845675
その他の卸売業,1.075845675
各種商品小売業,1.075845675
織物・衣服・身の回り品小売業,1.075845675
飲食料品小売業,1.075845675
機械器具小売業,1.075845675
その他の小売業,1.075845675
無店舗小売業,1.075845675
銀行業,0.997872512
協同組織金融業,0.997872512
貸金業，クレジットカード業等非預金信用機関,1.001285924
金融商品取引業，商品先物取引業,0.997872512
補助的金融業等,0.997872512
保険業(保険媒介代理業，保険サービス業を含む),0.997872512
不動産取引業,1.000159034
不動産賃貸業・管理業,1
物品賃貸業,1.026440843
学術・開発研究機関,1.000400628
専門サービス業(他に分類されないもの),0.989672371
広告業,0.97578998
技術サービス業(他に分類されないもの),0.991234734
宿泊業,0.953559921
飲食店,0.991705187
持ち帰り・配達飲食サービス業,0.991705187
洗濯・理容・美容・浴場業,0.999529203
その他の生活関連サービス業,1.035928905
娯楽業,0.986002875
学校教育,0.997587521
その他の教育，学習支援業,1
医療業,1
保健衛生,1
社会保険・社会福祉・介護事業,1
郵便局,0.999071978
協同組合(他に分類されないもの),0.993344115
廃棄物処理業,1.000762575
自動車整備業,1.000144275
機械等修理業(別掲を除く),1
職業紹介・労働者派遣業,0.989673233
その他の事業サービス業,0.989673233
政治・経済・文化団体,0.993344115
宗教,0.993344115
その他のサービス業,1
国家公務,1
地方公務,1